county,outage_area_count,total_impacted_customers_geojson,planned_outage_areas,not_planned_outage_areas,outage_incidents,total_impacted_customers_processed,outage_count_difference,impacted_customer_difference
CONTRA COSTA,6.0,4141.0,4.0,2.0,6,4141,0.0,0.0
SANTA CLARA,18.0,1767.0,7.0,11.0,21,933,-3.0,834.0
ALAMEDA,17.0,478.0,5.0,12.0,15,476,2.0,2.0
SAN MATEO,15.0,433.0,9.0,6.0,16,434,-1.0,-1.0
MARIN,2.0,326.0,1.0,1.0,3,327,-1.0,-1.0
PLACER,5.0,243.0,3.0,2.0,2,202,3.0,41.0
SAN FRANCISCO,7.0,101.0,1.0,6.0,6,100,1.0,1.0
NEVADA,5.0,91.0,4.0,1.0,3,84,2.0,7.0
SAN LUIS OBISPO,9.0,84.0,6.0,3.0,8,83,1.0,1.0
EL DORADO,9.0,67.0,7.0,2.0,9,75,0.0,-8.0
SANTA CRUZ,7.0,66.0,6.0,1.0,7,50,0.0,16.0
SANTA BARBARA,4.0,49.0,2.0,2.0,2,46,2.0,3.0
FRESNO,13.0,41.0,7.0,6.0,8,34,5.0,7.0
SOLANO,4.0,34.0,0.0,4.0,4,34,0.0,0.0
MERCED,2.0,28.0,0.0,2.0,2,28,0.0,0.0
MADERA,9.0,27.0,5.0,4.0,9,28,0.0,-1.0
SAN JOAQUIN,5.0,26.0,1.0,4.0,6,27,-1.0,-1.0
BUTTE,3.0,24.0,1.0,2.0,3,24,0.0,0.0
MONTEREY,3.0,20.0,2.0,1.0,5,22,-2.0,-2.0
SONOMA,3.0,19.0,0.0,3.0,3,19,0.0,0.0
CALAVERAS,4.0,15.0,2.0,2.0,4,15,0.0,0.0
YOLO,2.0,14.0,2.0,0.0,2,14,0.0,0.0
MENDOCINO,2.0,9.0,1.0,1.0,1,8,1.0,1.0
TUOLUMNE,4.0,8.0,3.0,1.0,4,8,0.0,0.0
KERN,3.0,8.0,1.0,2.0,4,220,-1.0,-212.0
AMADOR,2.0,3.0,2.0,0.0,2,3,0.0,0.0
SUTTER,3.0,3.0,0.0,3.0,3,3,0.0,0.0
YUBA,2.0,2.0,2.0,0.0,1,1,1.0,1.0
SHASTA,1.0,1.0,1.0,0.0,1,1,0.0,0.0
PLUMAS,1.0,1.0,0.0,1.0,1,1,0.0,0.0
NAPA,1.0,1.0,0.0,1.0,1,1,0.0,0.0
MARIPOSA,1.0,1.0,1.0,0.0,1,1,0.0,0.0
KINGS,1.0,1.0,0.0,1.0,1,1,0.0,0.0
COLUSA,,,,,1,49,,
GLENN,,,,,5,1458,,
HUMBOLDT,,,,,1,1,,
LAKE,,,,,1,1,,
