county,outage_area_count,total_impacted_customers,avg_impacted_customers,median_impacted_customers,planned_outage_areas,not_planned_outage_areas,avg_estimated_restoration_hours,max_estimated_restoration_hours
CONTRA COSTA,6,4141,690.17,18.0,4,2,6.43,7.88
SANTA CLARA,18,1767,98.17,6.5,7,11,8.56,29.9
ALAMEDA,17,478,28.12,7.0,5,12,8.58,24.25
SAN MATEO,15,433,28.87,11.0,9,6,6.23,10.05
MARIN,2,326,163.0,163.0,1,1,8.6,10.22
PLACER,5,243,48.6,3.0,3,2,6.4,7.92
SAN FRANCISCO,7,101,14.43,1.0,1,6,5.57,7.36
NEVADA,5,91,18.2,4.0,4,1,5.65,7.97
SAN LUIS OBISPO,9,84,9.33,2.0,6,3,6.32,7.99
EL DORADO,9,67,7.44,3.0,7,2,5.96,7.98
SANTA CRUZ,7,66,9.43,3.0,6,1,6.69,9.42
SANTA BARBARA,4,49,12.25,3.0,2,2,7.95,10.23
FRESNO,13,41,3.15,1.0,7,6,6.29,7.98
SOLANO,4,34,8.5,4.0,0,4,34.31,49.42
MERCED,2,28,14.0,14.0,0,2,9.11,11.33
MADERA,9,27,3.0,2.0,5,4,8.72,22.73
SAN JOAQUIN,5,26,5.2,1.0,1,4,6.95,8.38
BUTTE,3,24,8.0,4.0,1,2,4.04,5.77
MONTEREY,3,20,6.67,1.0,2,1,5.42,6.61
SONOMA,3,19,6.33,1.0,0,3,3.87,4.57
CALAVERAS,4,15,3.75,2.0,2,2,5.55,8.0
YOLO,2,14,7.0,7.0,2,0,4.61,4.72
MENDOCINO,2,9,4.5,4.5,1,1,6.25,9.0
TUOLUMNE,4,8,2.0,1.5,3,1,5.75,7.98
KERN,3,8,2.67,1.0,1,2,6.13,9.94
AMADOR,2,3,1.5,1.5,2,0,5.43,6.92
SUTTER,3,3,1.0,1.0,0,3,7.32,7.32
YUBA,2,2,1.0,1.0,2,0,5.46,7.95
SHASTA,1,1,1.0,1.0,1,0,7.97,7.97
PLUMAS,1,1,1.0,1.0,0,1,4.42,4.42
NAPA,1,1,1.0,1.0,0,1,6.18,6.18
MARIPOSA,1,1,1.0,1.0,1,0,4.0,4.0
KINGS,1,1,1.0,1.0,0,1,4.6,4.6
