object_id,utility_company,start_datetime,estimated_restoration_datetime,cause,impacted_customers,county,outage_status,outage_type,incident_id,estimated_restoration_hours
10197758,PGE,2026-06-08 20:35:00+00:00,2026-06-10 22:00:00+00:00,POLE FIRE,25,SOLANO,Active,Not Planned,274224,49.416666666666664
10197759,PGE,2026-06-08 20:35:00+00:00,2026-06-10 22:00:00+00:00,POLE FIRE,7,SOLANO,Active,Not Planned,274235,49.416666666666664
10197760,PGE,2026-06-09 11:06:29+00:00,2026-06-09 12:00:00+00:00,PLNND SHUTDOWN,1,SAN MATEO,Active,Planned,274764,0.8919444444444444
10197761,PGE,2026-06-09 15:31:00+00:00,2026-06-09 23:30:00+00:00,PLNND SHUTDOWN,6,EL DORADO,Active,Planned,275014,7.983333333333333
10197762,PGE,2026-06-09 16:13:49+00:00,2026-06-09 19:30:00+00:00,PLNND SHUTDOWN,32,SAN MATEO,Active,Planned,275057,3.269722222222222
10197763,PGE,2026-06-09 17:32:58+00:00,2026-06-09 23:30:00+00:00,UNKNOWN / NOT PROVIDED,4,MADERA,Active,Not Planned,275191,5.950555555555556
10197764,PGE,2026-06-09 19:44:45+00:00,2026-06-10 20:00:00+00:00,DAMGE UG CABLE,16,ALAMEDA,Active,Not Planned,275302,24.254166666666666
10197765,PGE,2026-06-09 19:55:02+00:00,2026-06-09 23:30:00+00:00,PLNND SHUTDOWN,1,EL DORADO,Active,Planned,275310,3.582777777777778
10197766,PGE,2026-06-09 19:57:27+00:00,2026-06-09 23:00:00+00:00,PLNND SHUTDOWN,2,TUOLUMNE,Active,Planned,275321,3.0425
10197767,PGE,2026-06-09 20:42:56+00:00,2026-06-10 01:00:00+00:00,UNKNOWN / NOT PROVIDED,1,MADERA,Active,Not Planned,275374,4.2844444444444445
10197768,PGE,2026-06-10 02:32:43+00:00,2026-06-11 01:00:00+00:00,BRKN UG EQUIPMNT,97,ALAMEDA,Active,Not Planned,275783,22.454722222222223
