county,year,month,total_gwh,residential_gwh,nonresidential_gwh,month_start_date
ALAMEDA,2008,January,1106.703848835,328.7857454,777.9181034349999,2008-01-01
ALAMEDA,2008,February,971.517644093,267.2670054,704.250638693,2008-02-01
ALAMEDA,2008,March,933.949738096,252.1524694,681.7972686960001,2008-03-01
ALAMEDA,2008,April,905.672466857,234.2130108,671.4594560569999,2008-04-01
ALAMEDA,2008,May,906.5171187459999,225.6505082,680.8666105460001,2008-05-01
ALAMEDA,2008,June,910.946366357,231.4016274,679.5447389569999,2008-06-01
ALAMEDA,2008,July,993.197374979,248.4906908,744.7066841790001,2008-07-01
ALAMEDA,2008,August,910.288820128,223.8244736,686.464346528,2008-08-01
ALAMEDA,2008,September,953.9500897529999,244.0416596,709.9084301529999,2008-09-01
ALAMEDA,2008,October,896.565350063,242.4452393,654.120110763,2008-10-01
ALAMEDA,2008,November,720.431637262,200.0600606,520.3715766619999,2008-11-01
ALAMEDA,2008,December,926.940190835,296.165607,630.7745838349999,2008-12-01
ALAMEDA,2009,January,857.758523598,293.2611686,564.497354998,2009-01-01
ALAMEDA,2009,February,795.600257221,249.4467722,546.1534850209999,2009-02-01
ALAMEDA,2009,March,846.9565230100001,263.0854752,583.8710478100002,2009-03-01
ALAMEDA,2009,April,840.533610228,248.0132005,592.520409728,2009-04-01
ALAMEDA,2009,May,780.094565365,221.627946,558.466619365,2009-05-01
ALAMEDA,2009,June,843.56987885,235.977301,607.59257785,2009-06-01
ALAMEDA,2009,July,958.875315031,247.058272,711.8170430309999,2009-07-01
ALAMEDA,2009,August,884.727800791,230.2524979,654.475302891,2009-08-01
ALAMEDA,2009,September,893.374454405,247.4351271,645.939327305,2009-09-01
ALAMEDA,2009,October,878.398119659,242.8012462,635.5968734590001,2009-10-01
ALAMEDA,2009,November,751.220489003,220.5373465,530.683142503,2009-11-01
ALAMEDA,2009,December,984.459618065,314.7649866,669.694631465,2009-12-01
ALAMEDA,2010,January,877.599082086,287.4801859,590.118896186,2010-01-01
ALAMEDA,2010,February,831.457763117,257.252932,574.2048311169999,2010-02-01
ALAMEDA,2010,March,907.6483831859999,268.4953,639.1530831859999,2010-03-01
ALAMEDA,2010,April,872.368781258,253.4888394,618.8799418579999,2010-04-01
