county,annual_total_gwh,annual_residential_gwh,annual_nonresidential_gwh,avg_monthly_gwh
LOS ANGELES,64896.33,21553.85,43342.48,5408.03
ORANGE,19225.15,7136.36,12088.79,1602.1
SAN DIEGO,19110.64,7113.63,11997.02,1592.55
SANTA CLARA,17793.58,4273.05,13520.54,1482.8
RIVERSIDE,17418.39,8765.52,8652.87,1451.53
SAN BERNARDINO,16206.4,5843.33,10363.08,1350.53
KERN,15272.88,2671.78,12601.1,1272.74
ALAMEDA,11699.7,3202.32,8497.38,974.97
SACRAMENTO,11380.74,5360.3,6020.45,948.4
CONTRA COSTA,8468.06,3065.24,5402.82,705.67
FRESNO,7968.27,3133.38,4834.89,664.02
SAN JOAQUIN,6029.12,2099.68,3929.44,502.43
VENTURA,5211.85,1837.52,3374.33,434.32
STANISLAUS,5200.26,2027.4,3172.86,433.36
SAN FRANCISCO,5126.01,1501.42,3624.59,427.17
TULARE,4615.26,1449.25,3166.02,384.61
SAN MATEO,4261.31,1614.59,2646.71,355.11
MERCED,3698.52,826.97,2871.56,308.21
SOLANO,3215.63,1150.09,2065.54,267.97
PLACER,3170.69,1689.26,1481.42,264.22
SONOMA,2901.7,1326.36,1575.35,241.81
SANTA BARBARA,2613.01,788.28,1824.73,217.75
MONTEREY,2463.49,710.98,1752.52,205.29
YOLO,1824.9,593.9,1231.0,152.07
KINGS,1752.05,422.87,1329.19,146.0
MADERA,1686.55,503.85,1182.69,140.55
SAN LUIS OBISPO,1681.39,687.71,993.68,140.12
SHASTA,1591.03,776.66,814.37,132.59
IMPERIAL,1547.72,667.84,879.88,128.98
BUTTE,1416.32,715.4,700.92,118.03
EL DORADO,1339.21,817.36,521.84,111.6
MARIN,1309.42,689.33,620.09,109.12
SANTA CRUZ,1173.63,546.17,627.46,97.8
NAPA,1053.49,388.6,664.89,87.79
NEVADA,769.85,482.61,287.24,64.15
HUMBOLDT,714.97,313.92,401.05,59.58
SUTTER,659.45,307.11,352.33,54.95
YUBA,562.13,257.35,304.77,46.84
MENDOCINO,556.88,271.45,285.43,46.41
TEHAMA,524.41,243.78,280.63,43.7
SISKIYOU,515.26,237.43,277.83,42.94
TUOLUMNE,447.0,223.35,223.65,37.25
LAKE,438.51,278.28,160.23,36.54
GLENN,423.2,97.84,325.36,35.27
SAN BENITO,394.27,154.98,239.3,32.86
AMADOR,328.48,151.34,177.14,27.37
CALAVERAS,309.14,213.77,95.37,25.76
COLUSA,299.32,69.5,229.82,24.94
LASSEN,262.38,103.78,158.6,21.87
INYO,207.67,61.32,146.35,17.31
DEL NORTE,203.6,118.11,85.48,16.97
PLUMAS,197.25,94.34,102.91,16.44
MONO,193.81,87.34,106.47,16.15
MODOC,153.07,59.13,93.94,12.76
TRINITY,143.54,7.73,135.81,11.96
MARIPOSA,114.36,72.5,41.86,9.53
SIERRA,21.71,12.73,8.98,1.81
ALPINE,19.64,10.33,9.31,1.64
