object_id,county,region,administration_region,mutual_aid_region,number_impacted_customers,number_incidents,impacted_customers_planned,impacted_customers_unplanned,shape_area,shape_length
5805503,ALAMEDA,2,Coastal,2,476,15,110,366,3082164727.0,432059.1807
5805505,AMADOR,4,Inland,4,3,2,3,0,2559997716.0,357482.5652
5805506,BUTTE,3,Inland,3,24,3,4,20,7338660132.0,526729.2726
5805507,CALAVERAS,4,Inland,4,15,4,11,4,4352159523.0,371781.0555
5805508,COLUSA,3,Inland,3,49,1,0,49,4989965920.0,383519.5591
5805509,CONTRA COSTA,2,Coastal,2,4141,6,58,4083,3094108658.0,408935.633
5805511,EL DORADO,4,Inland,4,75,9,71,4,7639219635.0,466654.4885
5805512,FRESNO,10,Inland,5,84,9,81,3,24329637643.0,1093884.402
5805513,GLENN,3,Inland,3,1458,5,0,1458,5795832625.0,396924.7411
5805514,HUMBOLDT,2,Coastal,2,1,1,0,1,16165866797.0,756496.5746
5805516,INYO,12,Southern,6,6,1,6,0,41101680951.0,1060549.262
5805517,KERN,5,Inland,5,617,7,397,220,31805177975.0,850410.4145
5805518,KINGS,5,Inland,5,1,1,0,1,5529078540.0,354360.6986
5805519,LAKE,2,Coastal,2,1,1,0,1,5730854288.0,463245.1535
5805521,LOS ANGELES,1,Southern,1,2475,25,548,1927,15562055939.0,949056.8738
5805522,MADERA,5,Inland,5,28,9,14,14,8811141852.0,600614.0537
5805523,MARIN,2,Coastal,2,327,3,325,2,2202088192.0,506963.3994
5805524,MARIPOSA,5,Inland,5,1,1,1,0,6035147379.0,429725.1678
5805525,MENDOCINO,2,Coastal,2,8,1,8,0,15278682015.0,752839.9199
5805526,MERCED,5,Inland,5,28,2,0,28,8057255808.0,426882.4283
5805528,MONO,6,Southern,6,219,1,219,0,13066825530.0,698782.616
5805529,MONTEREY,4,Coastal,2,22,5,2,20,13209624758.0,767537.8756
5805530,NAPA,2,Coastal,2,1,1,0,1,3340057645.0,373381.5738
5805531,NEVADA,4,Inland,4,84,3,83,1,4217253597.0,431406.1742
5805532,ORANGE,0,Southern,1,538,6,523,15,2998658581.0,258253.6586
5805533,PLACER,4,Inland,4,202,2,3,199,6453984226.0,534901.6685
5805534,PLUMAS,3,Inland,3,1,1,0,1,11556703189.0,654231.0425
5805535,RIVERSIDE,1,Southern,6,898,7,93,805,27417874741.0,907833.7539
5805536,SACRAMENTO,4,Inland,4,302,6,18,284,4149831409.0,409262.7716
5805538,SAN BERNARDINO,6,Southern,6,102,4,63,39,77493811786.0,1246890.567
5805539,SAN DIEGO,0,Southern,6,167,18,137,30,15661539108.0,740895.337
5805540,SAN FRANCISCO,2,Coastal,2,100,6,95,5,197155453.3,134639.5507
5805541,SAN JOAQUIN,4,Inland,4,27,6,22,5,5941162268.0,410718.3222
5805542,SAN LUIS OBISPO,1,Southern,1,83,8,81,2,12966822986.0,767149.0454
5805543,SAN MATEO,2,Coastal,2,434,16,169,265,1874693482.0,312496.3107
5805544,SANTA BARBARA,1,Southern,1,345,5,341,4,10552011523.0,825531.8431
5805545,SANTA CLARA,2,Coastal,2,933,21,89,844,5326236808.0,424960.5235
5805546,SANTA CRUZ,2,Coastal,2,50,7,38,12,1818365879.0,285089.5041
5805547,SHASTA,6,Inland,3,1,1,1,0,17385892003.0,704915.8668
5805550,SOLANO,2,Coastal,2,34,4,0,34,3547864220.0,446696.482
5805551,SONOMA,2,Coastal,2,19,3,0,19,6728803685.0,499739.9818
5805553,SUTTER,3,Inland,3,3,3,0,3,2615926113.0,354094.001
5805556,TULARE,5,Inland,5,90,5,59,31,19305183028.0,648995.8739
5805557,TUOLUMNE,8,Inland,4,8,4,7,1,9522704519.0,637046.0827
5805558,VENTURA,1,Southern,1,3021,6,81,2940,7125912319.0,477805.3161
5805559,YOLO,4,Inland,4,14,2,14,0,4349584388.0,418928.0905
5805560,YUBA,3,Inland,3,1,1,1,0,2786264184.0,364828.1583
