object_id,utility_company,start_datetime,estimated_restoration_datetime,cause,impacted_customers,county,outage_status,outage_type,global_id,outage_type_color,incident_id,x,y,start_date,start_year,start_month,start_hour,estimated_restoration_hours
42033256,SDGE,2026-06-10 14:30:00,2026-06-10 19:30:00,The cause of the outage is unknown and still under investigation.,2,SAN DIEGO,Active,Not Planned,49e39e12-a963-4af9-823a-b6b616543fe9,#ffaa00,1285097,-13026966.71,3867594.31,2026-06-10,2026.0,6.0,14.0,5.0
42033257,SDGE,2026-06-10 14:44:00,2026-06-10 23:00:00,A vehicle has come into contact with our electric system and our crews are currently on scene making repairs.,28,SAN DIEGO,Active,Not Planned,368460e5-b28a-4880-adb3-5127c8ba302b,#ffaa00,1285104,-13034572.01,3850002.818,2026-06-10,2026.0,6.0,14.0,8.266666666666667
42033258,SDGE,2026-06-10 18:13:00,2026-06-10 23:00:00,Upgrading the electric system in your area requires us to turn off the power. Our crews are working to safely restore your electric service by the estimated restoration time.,58,SAN DIEGO,Active,Planned,80fe41be-e5c9-4851-bd66-efb8068c36d5,#a8a800,1285132,-13033938.8,3928967.782,2026-06-10,2026.0,6.0,18.0,4.783333333333333
42033259,SDGE,2026-06-10 16:28:00,2026-06-11 00:00:00,Upgrading the electric system in your area requires us to turn off the power. Our crews are working to safely restore your electric service by the estimated restoration time.,2,SAN DIEGO,Active,Planned,b00447dc-2278-4e96-9ffe-9f5201fd3d32,#a8a800,1285153,-13050604.59,3939045.474,2026-06-10,2026.0,6.0,16.0,7.533333333333333
42033260,SDGE,2026-06-10 17:31:00,2026-06-10 22:00:00,Upgrading the electric system in your area requires us to turn off the power. Our crews are working to safely restore your electric service by the estimated restoration time.,2,SAN DIEGO,Active,Planned,f4749d5a-9ebd-4ca9-b82c-9db41819524b,#a8a800,1285161,-13056136.38,3902026.574,2026-06-10,2026.0,6.0,17.0,4.483333333333333
42033261,SDGE,2026-06-10 16:31:00,2026-06-10 21:30:00,Upgrading the electric system in your area requires us to turn off the power. Our crews are working to safely restore your electric service by the estimated restoration time.,3,SAN DIEGO,Active,Planned,ccc6e79a-b73d-47e6-8019-d624adb8485a,#a8a800,1285112,-13046491.76,3897195.989,2026-06-10,2026.0,6.0,16.0,4.983333333333333
42033262,SDGE,2026-06-10 19:18:00,2026-06-10 21:30:00,Upgrading the electric system in your area requires us to turn off the power. Our crews are working to safely restore your electric service by the estimated restoration time.,13,SAN DIEGO,Active,Planned,9c77507f-6eab-4c29-be51-df67ecb41e1f,#a8a800,1285210,-13029929.91,3856138.023,2026-06-10,2026.0,6.0,19.0,2.2
42033263,SDGE,2026-06-10 16:35:00,2026-06-10 22:00:00,Upgrading the electric system in your area requires us to turn off the power. Our crews are working to safely restore your electric service by the estimated restoration time.,21,SAN DIEGO,Active,Planned,4ec85317-d018-4ed4-adc8-73121710b685,#a8a800,1285148,-13015545.24,3869347.26,2026-06-10,2026.0,6.0,16.0,5.416666666666667
42033264,SDGE,2026-06-10 14:48:00,2026-06-10 22:00:00,Upgrading the electric system in your area requires us to turn off the power. Our crews are working to safely restore your electric service by the estimated restoration time.,37,SAN DIEGO,Active,Planned,0ee93d07-1cda-40a2-802a-ebab822b24a8,#a8a800,1285105,-13034306.78,3910665.861,2026-06-10,2026.0,6.0,14.0,7.2
42033265,SDGE,2026-06-10 15:00:00,2026-06-10 21:00:00,Upgrading the electric system in your area requires us to turn off the power. Our crews are working to safely restore your electric service by the estimated restoration time.,1,SAN DIEGO,Active,Planned,c9ecf981-1635-4c0c-bcea-9bb7f9be32ae,#a8a800,1285102,-13035474.72,3846520.397,2026-06-10,2026.0,6.0,15.0,6.0
