cause_clean,outage_incidents,total_impacted_customers,avg_impacted_customers,median_impacted_customers,avg_estimated_restoration_hours
UNKNOWN / NOT PROVIDED,56,4713,84.2,1.0,6.33
PUBLIC SAFETY,6,1507,251.2,238.0,
PLNND SHUTDOWN,77,1283,16.7,5.0,6.82
PATROLLING,16,1000,62.5,1.0,6.0
EMERG REPAIRS,4,209,52.2,13.0,6.1
BRKN UG EQUIPMNT,3,119,39.7,21.0,13.47
POLE FIRE,2,32,16.0,16.0,49.42
THRD PARTY,1,27,27.0,27.0,6.88
TREE CONTACT,1,21,21.0,21.0,8.5
AWAITING INVESTIGATION,2,20,10.0,10.0,3.46
DAMGE UG CABLE,2,17,8.5,8.5,17.1
REPLCE TXFMR,1,4,4.0,4.0,8.62
REPLCE SRVC,1,1,1.0,1.0,4.45
