county,outage_incidents,total_impacted_customers,annual_total_gwh,avg_monthly_gwh,impacted_customers_per_annual_gwh,incidents_per_annual_gwh
GLENN,5,1458,423.2,35.27,3.4452,0.0118
CONTRA COSTA,6,4141,8468.06,705.67,0.489,0.0007
MARIN,3,327,1309.42,109.12,0.2497,0.0023
COLUSA,1,49,299.32,24.94,0.1637,0.0033
NEVADA,3,84,769.85,64.15,0.1091,0.0039
SAN MATEO,16,434,4261.31,355.11,0.1018,0.0038
PLACER,2,202,3170.69,264.22,0.0637,0.0006
EL DORADO,9,75,1339.21,111.6,0.056,0.0067
SANTA CLARA,21,933,17793.58,1482.8,0.0524,0.0012
SAN LUIS OBISPO,8,83,1681.39,140.12,0.0494,0.0048
CALAVERAS,4,15,309.14,25.76,0.0485,0.0129
SANTA CRUZ,7,50,1173.63,97.8,0.0426,0.006
ALAMEDA,15,476,11699.7,974.97,0.0407,0.0013
SAN FRANCISCO,6,100,5126.01,427.17,0.0195,0.0012
TUOLUMNE,4,8,447.0,37.25,0.0179,0.0089
SANTA BARBARA,2,46,2613.01,217.75,0.0176,0.0008
BUTTE,3,24,1416.32,118.03,0.0169,0.0021
MADERA,9,28,1686.55,140.55,0.0166,0.0053
MENDOCINO,1,8,556.88,46.41,0.0144,0.0018
KERN,4,220,15272.88,1272.74,0.0144,0.0003
SOLANO,4,34,3215.63,267.97,0.0106,0.0012
AMADOR,2,3,328.48,27.37,0.0091,0.0061
MONTEREY,5,22,2463.49,205.29,0.0089,0.002
MARIPOSA,1,1,114.36,9.53,0.0087,0.0087
YOLO,2,14,1824.9,152.07,0.0077,0.0011
MERCED,2,28,3698.52,308.21,0.0076,0.0005
SONOMA,3,19,2901.7,241.81,0.0065,0.001
PLUMAS,1,1,197.25,16.44,0.0051,0.0051
SAN JOAQUIN,6,27,6029.12,502.43,0.0045,0.001
SUTTER,3,3,659.45,54.95,0.0045,0.0045
FRESNO,8,34,7968.27,664.02,0.0043,0.001
LAKE,1,1,438.51,36.54,0.0023,0.0023
YUBA,1,1,562.13,46.84,0.0018,0.0018
HUMBOLDT,1,1,714.97,59.58,0.0014,0.0014
NAPA,1,1,1053.49,87.79,0.0009,0.0009
KINGS,1,1,1752.05,146.0,0.0006,0.0006
SHASTA,1,1,1591.03,132.59,0.0006,0.0006
