county,outage_incidents,total_impacted_customers,avg_impacted_customers,median_impacted_customers,avg_estimated_restoration_hours,max_estimated_restoration_hours,annual_total_gwh,annual_residential_gwh,annual_nonresidential_gwh,avg_monthly_gwh,impacted_customers_per_annual_gwh,incidents_per_annual_gwh
CONTRA COSTA,6,4141,690.2,18.0,6.59,7.88,8468.06,3065.24,5402.82,705.67,0.489,0.0007
GLENN,5,1458,291.6,319.0,,,423.2,97.84,325.36,35.27,3.4452,0.0118
SANTA CLARA,21,933,44.4,3.0,8.09,29.9,17793.58,4273.05,13520.54,1482.8,0.0524,0.0012
ALAMEDA,15,476,31.7,13.0,8.7,24.25,11699.7,3202.32,8497.38,974.97,0.0407,0.0013
SAN MATEO,16,434,27.1,9.5,6.23,10.05,4261.31,1614.59,2646.71,355.11,0.1018,0.0038
MARIN,3,327,109.0,1.0,8.6,10.22,1309.42,689.33,620.09,109.12,0.2497,0.0023
KERN,4,220,55.0,8.0,6.73,9.94,15272.88,2671.78,12601.1,1272.74,0.0144,0.0003
PLACER,2,202,101.0,101.0,6.81,7.89,3170.69,1689.26,1481.42,264.22,0.0637,0.0006
SAN FRANCISCO,6,100,16.7,1.0,6.37,9.47,5126.01,1501.42,3624.59,427.17,0.0195,0.0012
NEVADA,3,84,28.0,8.0,6.44,7.97,769.85,482.61,287.24,64.15,0.1091,0.0039
SAN LUIS OBISPO,8,83,10.4,3.5,6.44,7.99,1681.39,687.71,993.68,140.12,0.0494,0.0048
EL DORADO,9,75,8.3,4.0,6.01,7.98,1339.21,817.36,521.84,111.6,0.056,0.0067
SANTA CRUZ,7,50,7.1,3.0,6.41,9.42,1173.63,546.17,627.46,97.8,0.0426,0.006
COLUSA,1,49,49.0,49.0,,,299.32,69.5,229.82,24.94,0.1637,0.0033
SANTA BARBARA,2,46,23.0,23.0,8.04,8.62,2613.01,788.28,1824.73,217.75,0.0176,0.0008
FRESNO,8,34,4.2,1.0,6.52,7.98,7968.27,3133.38,4834.89,664.02,0.0043,0.001
SOLANO,4,34,8.5,4.0,27.58,49.42,3215.63,1150.09,2065.54,267.97,0.0106,0.0012
MADERA,9,28,3.1,2.0,8.32,22.73,1686.55,503.85,1182.69,140.55,0.0166,0.0053
MERCED,2,28,14.0,14.0,9.11,11.33,3698.52,826.97,2871.56,308.21,0.0076,0.0005
SAN JOAQUIN,6,27,4.5,1.0,7.1,8.49,6029.12,2099.68,3929.44,502.43,0.0045,0.001
BUTTE,3,24,8.0,4.0,4.04,5.77,1416.32,715.4,700.92,118.03,0.0169,0.0021
MONTEREY,5,22,4.4,1.0,5.34,6.61,2463.49,710.98,1752.52,205.29,0.0089,0.002
SONOMA,3,19,6.3,1.0,5.87,8.6,2901.7,1326.36,1575.35,241.81,0.0065,0.001
CALAVERAS,4,15,3.8,2.0,5.14,8.0,309.14,213.77,95.37,25.76,0.0485,0.0129
YOLO,2,14,7.0,7.0,4.61,4.72,1824.9,593.9,1231.0,152.07,0.0077,0.0011
MENDOCINO,1,8,8.0,8.0,9.0,9.0,556.88,271.45,285.43,46.41,0.0144,0.0018
TUOLUMNE,4,8,2.0,1.5,6.04,7.98,447.0,223.35,223.65,37.25,0.0179,0.0089
AMADOR,2,3,1.5,1.5,5.43,6.92,328.48,151.34,177.14,27.37,0.0091,0.0061
SUTTER,3,3,1.0,1.0,3.44,3.49,659.45,307.11,352.33,54.95,0.0045,0.0045
PLUMAS,1,1,1.0,1.0,4.42,4.42,197.25,94.34,102.91,16.44,0.0051,0.0051
NAPA,1,1,1.0,1.0,6.18,6.18,1053.49,388.6,664.89,87.79,0.0009,0.0009
MARIPOSA,1,1,1.0,1.0,4.0,4.0,114.36,72.5,41.86,9.53,0.0087,0.0087
LAKE,1,1,1.0,1.0,8.87,8.87,438.51,278.28,160.23,36.54,0.0023,0.0023
KINGS,1,1,1.0,1.0,4.6,4.6,1752.05,422.87,1329.19,146.0,0.0006,0.0006
HUMBOLDT,1,1,1.0,1.0,,,714.97,313.92,401.05,59.58,0.0014,0.0014
SHASTA,1,1,1.0,1.0,7.97,7.97,1591.03,776.66,814.37,132.59,0.0006,0.0006
YUBA,1,1,1.0,1.0,7.95,7.95,562.13,257.35,304.77,46.84,0.0018,0.0018
