county,outage_incidents,total_impacted_customers,avg_impacted_customers,median_impacted_customers,avg_estimated_restoration_hours,max_estimated_restoration_hours
CONTRA COSTA,6,4141,690.2,18.0,6.59,7.88
GLENN,5,1458,291.6,319.0,,
SANTA CLARA,21,933,44.4,3.0,8.09,29.9
ALAMEDA,15,476,31.7,13.0,8.7,24.25
SAN MATEO,16,434,27.1,9.5,6.23,10.05
MARIN,3,327,109.0,1.0,8.6,10.22
KERN,4,220,55.0,8.0,6.73,9.94
PLACER,2,202,101.0,101.0,6.81,7.89
SAN FRANCISCO,6,100,16.7,1.0,6.37,9.47
NEVADA,3,84,28.0,8.0,6.44,7.97
SAN LUIS OBISPO,8,83,10.4,3.5,6.44,7.99
EL DORADO,9,75,8.3,4.0,6.01,7.98
SANTA CRUZ,7,50,7.1,3.0,6.41,9.42
COLUSA,1,49,49.0,49.0,,
SANTA BARBARA,2,46,23.0,23.0,8.04,8.62
FRESNO,8,34,4.2,1.0,6.52,7.98
SOLANO,4,34,8.5,4.0,27.58,49.42
MADERA,9,28,3.1,2.0,8.32,22.73
MERCED,2,28,14.0,14.0,9.11,11.33
SAN JOAQUIN,6,27,4.5,1.0,7.1,8.49
BUTTE,3,24,8.0,4.0,4.04,5.77
MONTEREY,5,22,4.4,1.0,5.34,6.61
SONOMA,3,19,6.3,1.0,5.87,8.6
CALAVERAS,4,15,3.8,2.0,5.14,8.0
YOLO,2,14,7.0,7.0,4.61,4.72
MENDOCINO,1,8,8.0,8.0,9.0,9.0
TUOLUMNE,4,8,2.0,1.5,6.04,7.98
AMADOR,2,3,1.5,1.5,5.43,6.92
SUTTER,3,3,1.0,1.0,3.44,3.49
PLUMAS,1,1,1.0,1.0,4.42,4.42
NAPA,1,1,1.0,1.0,6.18,6.18
MARIPOSA,1,1,1.0,1.0,4.0,4.0
LAKE,1,1,1.0,1.0,8.87,8.87
KINGS,1,1,1.0,1.0,4.6,4.6
HUMBOLDT,1,1,1.0,1.0,,
SHASTA,1,1,1.0,1.0,7.97,7.97
YUBA,1,1,1.0,1.0,7.95,7.95
