year,month,total_gwh,residential_gwh,nonresidential_gwh,month_start_date
2024,January,6422.76,2641.63,3781.13,2024-01-01
2024,February,5651.1,2169.29,3481.81,2024-02-01
2024,March,5482.89,1956.69,3526.2,2024-03-01
2024,April,5249.72,1642.7,3607.02,2024-04-01
2024,May,5318.09,1473.98,3844.11,2024-05-01
2024,June,5891.75,1762.79,4128.96,2024-06-01
2024,July,7978.56,2929.36,5049.2,2024-07-01
2024,August,7853.91,2869.58,4984.33,2024-08-01
2024,September,6807.92,2265.32,4542.6,2024-09-01
2024,October,6958.82,2384.16,4574.66,2024-10-01
2024,November,5321.15,1681.98,3639.16,2024-11-01
2024,December,6400.91,2502.63,3898.28,2024-12-01
