object_id,utility_company,start_datetime,estimated_restoration_datetime,cause,impacted_customers,county,outage_status,outage_type,global_id,outage_type_color,incident_id,x,y,start_date,start_year,start_month,start_hour,estimated_restoration_hours,cause_clean,cause_category
42033342,PGE,2026-06-08 20:35:00,2026-06-10 22:00:00,POLE FIRE,25,SOLANO,Active,Not Planned,fbda3217-0b7f-478d-a9e4-859f5f9f947a,#ffaa00,274224,-13584767.19,4649529.494,2026-06-08,2026.0,6.0,20.0,49.416666666666664,POLE FIRE,External / Environmental
42033343,PGE,2026-06-08 20:35:00,2026-06-10 22:00:00,POLE FIRE,7,SOLANO,Active,Not Planned,354d1c45-5ff9-4f74-a0b2-ae07c049c9dd,#ffaa00,274235,-13584767.19,4649529.494,2026-06-08,2026.0,6.0,20.0,49.416666666666664,POLE FIRE,External / Environmental
42033344,PGE,2026-06-09 11:06:29,2026-06-09 12:00:00,PLNND SHUTDOWN,1,SAN MATEO,Active,Planned,20e51fac-20b8-4d5b-8700-bd868a68adf9,#a8a800,274764,-13625313.09,4524211.865,2026-06-09,2026.0,6.0,11.0,0.8919444444444444,PLNND SHUTDOWN,Planned Work
42033345,PGE,2026-06-09 15:31:00,2026-06-09 23:30:00,PLNND SHUTDOWN,6,EL DORADO,Active,Planned,155ac157-910a-4889-a8b8-7b805b66708d,#a8a800,275014,-13449246.84,4690829.895,2026-06-09,2026.0,6.0,15.0,7.983333333333333,PLNND SHUTDOWN,Planned Work
42033346,PGE,2026-06-09 16:13:49,2026-06-09 19:30:00,PLNND SHUTDOWN,32,SAN MATEO,Active,Planned,3fca4cff-7fec-4e7d-8680-b00fffcaebad,#a8a800,275057,-13631309.87,4538209.893,2026-06-09,2026.0,6.0,16.0,3.269722222222222,PLNND SHUTDOWN,Planned Work
42033347,PGE,2026-06-09 17:32:58,2026-06-09 23:30:00,,4,MADERA,Active,Not Planned,728035c0-0f84-45b9-bd9c-942de81231a1,#ffaa00,275191,-13315106.86,4490163.36,2026-06-09,2026.0,6.0,17.0,5.950555555555556,UNKNOWN / NOT PROVIDED,Unknown / Not Provided
42033348,PGE,2026-06-09 19:44:45,2026-06-10 20:00:00,DAMGE UG CABLE,16,ALAMEDA,Active,Not Planned,6081e8dc-ab5c-4cc1-bdfc-4b8c98c5c761,#ffaa00,275302,-13575159.21,4516771.23,2026-06-09,2026.0,6.0,19.0,24.254166666666666,DAMGE UG CABLE,Equipment / Underground
42033349,PGE,2026-06-09 19:55:02,2026-06-09 23:30:00,PLNND SHUTDOWN,1,EL DORADO,Active,Planned,4838a4b4-910e-4b6c-96e3-81f3b1b599dc,#a8a800,275310,-13453627.27,4669338.662,2026-06-09,2026.0,6.0,19.0,3.582777777777778,PLNND SHUTDOWN,Planned Work
42033350,PGE,2026-06-09 19:57:27,2026-06-09 23:00:00,PLNND SHUTDOWN,2,TUOLUMNE,Active,Planned,2fbce947-0e76-4497-bf28-f8955802f862,#a8a800,275321,-13385347.23,4584830.665,2026-06-09,2026.0,6.0,19.0,3.0425,PLNND SHUTDOWN,Planned Work
42033351,PGE,2026-06-09 20:42:56,2026-06-10 01:00:00,,1,MADERA,Active,Not Planned,30cff365-67af-48ae-bb7d-d3195c7968d3,#ffaa00,275374,-13341232.43,4461361.014,2026-06-09,2026.0,6.0,20.0,4.2844444444444445,UNKNOWN / NOT PROVIDED,Unknown / Not Provided
42033352,PGE,2026-06-10 02:32:43,2026-06-11 01:00:00,BRKN UG EQUIPMNT,97,ALAMEDA,Active,Not Planned,b8716014-597d-44d9-a9b7-2386ee1b2edc,#ffaa00,275783,-13575696.88,4517196.708,2026-06-10,2026.0,6.0,2.0,22.454722222222223,BRKN UG EQUIPMNT,Equipment / Underground
42033353,PGE,2026-06-10 08:43:01,2026-06-10 20:00:00,,15,SANTA CLARA,Active,Not Planned,878a7c78-5b3c-4cda-b87c-632334cd2e0a,#ffaa00,275813,-13558331.04,4485918.905,2026-06-10,2026.0,6.0,8.0,11.283055555555556,UNKNOWN / NOT PROVIDED,Unknown / Not Provided
42033354,PGE,2026-06-10 13:12:56,2026-06-10 21:00:00,,182,ALAMEDA,Active,Not Planned,38b6a204-3b97-4dcb-b869-37cc8cb01a8f,#ffaa00,275848,-13575542.15,4513133.608,2026-06-10,2026.0,6.0,13.0,7.7844444444444445,UNKNOWN / NOT PROVIDED,Unknown / Not Provided
42033355,PGE,2026-06-09 17:01:00,2026-06-10 15:45:00,,4,MADERA,Active,Not Planned,738a24a1-d737-44df-80c0-2ea38f17ffb3,#ffaa00,275850,-13315052.31,4490201.177,2026-06-09,2026.0,6.0,17.0,22.733333333333334,UNKNOWN / NOT PROVIDED,Unknown / Not Provided
42033356,PGE,2026-06-10 13:37:17,,Awaiting Investigation,1,ALAMEDA,Active,Not Planned,b65815f1-168f-4f5b-a9d4-e02aff603577,#ffaa00,275855,-13561506.98,4540510.713,2026-06-10,2026.0,6.0,13.0,,AWAITING INVESTIGATION,Under Investigation
42033357,PGE,2026-06-10 14:30:00,2026-06-10 23:30:00,PLNND SHUTDOWN,8,MENDOCINO,Active,Planned,31e10794-0f3e-426c-a560-cb8a13512cc3,#a8a800,275866,-13759663.47,4771981.178,2026-06-10,2026.0,6.0,14.0,9.0,PLNND SHUTDOWN,Planned Work
42033358,PGE,2026-06-10 15:00:00,2026-06-10 23:00:00,PLNND SHUTDOWN,1,CALAVERAS,Active,Planned,25b6cd5a-a95c-488f-b93f-88c328e053ef,#a8a800,275880,-13412318.83,4592795.424,2026-06-10,2026.0,6.0,15.0,8.0,PLNND SHUTDOWN,Planned Work
42033359,PGE,2026-06-10 14:52:17,2026-06-10 23:15:00,PLNND SHUTDOWN,22,SAN JOAQUIN,Active,Planned,db80ee63-d6b5-4d20-ab0b-c8ab6c8b5c02,#a8a800,275886,-13495610.3,4552839.656,2026-06-10,2026.0,6.0,14.0,8.37861111111111,PLNND SHUTDOWN,Planned Work
42033360,PGE,2026-06-10 15:01:00,2026-06-10 23:00:00,PLNND SHUTDOWN,5,SAN LUIS OBISPO,Active,Planned,b09c7d10-7940-49b1-9fbe-5b1202c4d833,#a8a800,275887,-13478081.93,4238982.782,2026-06-10,2026.0,6.0,15.0,7.983333333333333,PLNND SHUTDOWN,Planned Work
42033361,PGE,2026-06-10 15:01:00,2026-06-10 23:00:00,PLNND SHUTDOWN,4,TUOLUMNE,Active,Planned,f5bce6cd-ea51-411b-b1e6-b1a4cce82bad,#a8a800,275894,-13388362.88,4588008.481,2026-06-10,2026.0,6.0,15.0,7.983333333333333,PLNND SHUTDOWN,Planned Work
