agency_name,agency_type,annual_total_gwh,avg_monthly_gwh
SOUTHERN CALIFORNIA EDISON COMPANY,Investor owned utility,79342.0,944.55
PACIFIC GAS AND ELECTRIC COMPANY,Investor owned utility,75337.57,896.88
LOS ANGELES DEPARTMENT OF WATER AND POWER,Publicly owned utility,21399.47,254.76
PACIFIC GAS AND ELECTRIC PLANNING AREA SELF GENERATION,Self Generator,17845.88,212.45
SAN DIEGO GAS AND ELECTRIC COMPANY,Investor owned utility,16785.93,199.83
SOUTHERN CALIFORNIA EDISON PLANNING AREA SELF GENERATION,Self Generator,12570.28,149.65
SACRAMENTO MUNICIPAL UTILITY DISTRICT,Publicly owned utility,10698.0,127.36
DEPARTMENT OF WATER RESOURCES,Publicly owned utility,5817.69,484.81
SILICON VALLEY POWER,Publicly owned utility,4704.81,56.01
SAN DIEGO GAS AND ELECTRIC PLANNING AREA SELF GENERATION,Self Generator,3808.99,52.9
IMPERIAL IRRIGATION DISTRICT,Publicly owned utility,3666.83,43.65
USBR WAPA CENTRAL VALLEY PROJECT,Western Area Power Administration,2929.84,34.88
MODESTO IRRIGATION DISTRICT,Publicly owned utility,2669.29,31.78
TURLOCK IRRIGATION DISTRICT,Publicly owned utility,2310.08,27.5
"RIVERSIDE, CITY OF",Publicly owned utility,2151.97,25.62
"ANAHEIM, CITY OF",Publicly owned utility,2138.07,25.45
LOS ANGELES DEPARTMENT OF WATER AND POWER PLANNING AREA SELF GENERATION,Self Generator,2036.36,33.94
METROPOLITAN WATER DISTRICT OF SOUTHERN CALIFORNIA,Publicly owned utility,1858.82,154.9
ROSEVILLE ELECTRIC,Publicly owned utility,1165.5,13.88
"VERNON, CITY OF",Publicly owned utility,1035.96,12.33
PASADENA WATER AND POWER,Publicly owned utility,1008.33,12.0
GLENDALE WATER AND POWER,Publicly owned utility,965.48,11.49
BURBANK WATER AND POWER,Publicly owned utility,958.0,11.4
HETCH HETCHY POWER,Publicly owned utility,954.0,11.36
"PALO ALTO, CITY OF, UTILITIES DEPARTMENT",Publicly owned utility,892.32,12.39
NORTHERN CALIFORNIA-NON CALIFORNIA ISO PLANNING AREA SELF GENERATION,Self Generator,842.53,11.7
PACIFICORP,Investor owned utility,746.9,8.89
REDDING ELECTRIC UTILITY,Publicly owned utility,729.75,10.14
LIBERTY UTILITIES,Investor owned utility,671.74,8.0
MERCED IRRIGATION DISTRICT,Publicly owned utility,510.63,6.08
LODI ELECTRIC UTILITY,Publicly owned utility,459.05,5.46
ALAMEDA MUNICIPAL POWER,Publicly owned utility,383.14,4.56
COLTON PUBLIC UTILITIES,Publicly owned utility,336.59,4.01
IMPERIAL IRRIGATION DISTRICT PLANNING AREA SELF GENERATION,Self Generator,276.29,6.28
AZUSA LIGHT AND WATER,Publicly owned utility,235.89,2.81
MORENO VALLEY ELECTRIC UTILITY,Publicly owned utility,218.43,2.6
"SHASTA LAKE, CITY OF",Publicly owned utility,194.69,4.06
TRUCKEE DONNER PUBLIC UTILITY DISTRICT,Publicly owned utility,168.5,3.51
"BANNING, CITY OF",Publicly owned utility,160.74,1.91
PLUMAS-SIERRA RURAL ELECTRIC COOPERATIVE,Rural electric,143.59,1.71
LASSEN MUNICIPAL UTILITY DISTRICT,Publicly owned utility,140.48,2.93
BEAR VALLEY ELECTRIC SERVICE,Investor owned utility,140.35,3.9
"CORONA, CITY OF",Publicly owned utility,135.4,1.61
"LOMPOC, CITY OF, ELECTRIC DIVISION",Publicly owned utility,130.75,1.56
RANCHO CUCAMONGA MUNICIPAL UTILITY,Publicly owned utility,120.18,1.43
"UKIAH, CITY OF",Publicly owned utility,105.78,1.47
VICTORVILLE MUNICIPAL UTILITY SERVICES,Publicly owned utility,104.65,1.74
SURPRISE VALLEY ELECTRIC COOPERATIVE,Rural electric,103.52,1.23
PORT OF OAKLAND,Publicly owned utility,93.46,2.67
"HEALDSBURG, CITY OF, ELECTRIC DEPARTMENT",Publicly owned utility,82.21,1.14
"NEEDLES, CITY OF",Publicly owned utility,71.91,0.86
BURBANK AND GLENDALE PLANNING AREA SELF GENERATION,Self Generator,67.32,1.87
OTHER PLANNING AREA SELF GENERATION,Self Generator,58.87,0.82
"ANZA ELECTRIC COOPERATIVE, INC.",Rural electric,47.74,0.59
"INDUSTRY, CITY OF",Publicly owned utility,38.79,0.53
TUOLUMNE COUNTY PUBLIC POWER AGENCY,Joint utility agency,38.27,1.06
PORT OF STOCKTON,Publicly owned utility,37.29,0.78
GRIDLEY ELECTRIC UTILITY,Publicly owned utility,34.13,0.49
CALAVERAS PUBLIC POWER AGENCY,Joint utility agency,31.45,0.87
"PITTSBURG, CITY OF (DBA ISLAND ENERGY ON MARE ISLAND)",Publicly owned utility,22.2,0.31
LATHROP IRRIGATION DISTRICT,Publicly owned utility,16.78,0.35
BIGGS MUNICIPAL UTILITIES,Publicly owned utility,14.73,0.41
VALLEY ELECTRIC ASSOCIATION,Rural electric,9.11,0.24
KIRKWOOD MEADOWS PUBLIC UTILITY DISTRICT,Publicly owned utility,7.29,0.2
