account_id,customer_id,premise_id,customer_segment,county,account_status,rate_plan_id,meter_id,meter_type,meter_status,total_meter_reads,missing_meter_reads,invalid_meter_reads,total_bills,exception_bills,past_due_bills,total_billing_exceptions,open_billing_exceptions,in_review_billing_exceptions,total_service_requests,open_service_requests,in_progress_service_requests,readiness_flag,readiness_status
ACCT000001,CUST000001,PREM000001,Residential,KERN,Active,R-RES-TOU,MTR000001,Smart Meter,Active,12,0,1,12,1,1,1,0,0,1,1,0,0,Invalid Meter Reads
ACCT000002,CUST000002,PREM000002,Agriculture And Water Pumping,KERN,Active,R-AGR-PUMP,MTR000002,Smart Meter,Active,12,2,1,12,3,2,3,2,0,0,0,0,0,Missing Meter Reads
ACCT000003,CUST000003,PREM000003,Residential,BUTTE,Active,R-RES-TOU,MTR000003,Smart Meter,Active,12,0,0,12,0,0,0,0,0,0,0,0,1,Ready
ACCT000004,CUST000004,PREM000004,Residential,SAN MATEO,Active,R-RES-TOU,MTR000004,Smart Meter,Active,12,2,0,12,2,1,2,0,0,1,0,0,0,Missing Meter Reads
ACCT000005,CUST000005,PREM000005,Residential,MONTEREY,Active,R-RES-TOU,MTR000005,Smart Meter,Active,12,1,0,12,1,0,1,1,0,1,0,1,0,Missing Meter Reads
ACCT000006,CUST000006,PREM000006,Residential,SANTA CLARA,Active,R-RES-TOU,MTR000006,Smart Meter,Active,12,0,0,12,0,1,0,0,0,0,0,0,1,Ready
ACCT000007,CUST000007,PREM000007,Residential,MERCED,Active,R-RES-TOU,MTR000007,Smart Meter,Active,12,0,0,12,0,3,0,0,0,0,0,0,1,Ready
ACCT000008,CUST000008,PREM000008,Commercial,SAN JOAQUIN,Active,R-COM-GEN,MTR000008,Smart Meter,Active,12,1,0,12,1,0,1,0,1,0,0,0,0,Missing Meter Reads
ACCT000009,CUST000009,PREM000009,Residential,SANTA CLARA,Active,R-RES-TOU,MTR000009,Smart Meter,Active,12,0,1,12,1,1,1,0,1,1,0,0,0,Invalid Meter Reads
ACCT000010,CUST000010,PREM000010,Residential,KERN,Active,R-RES-TOU,MTR000010,Smart Meter,Active,12,0,0,12,0,2,0,0,0,0,0,0,1,Ready
