billing_cycle_id,customer_segment,county,rate_plan_id,bill_status,bill_count,account_count,total_bill_amount,avg_bill_amount,total_kwh_usage,avg_kwh_usage,paid_bills,generated_bills,past_due_bills,exception_bills
2024-01,Agriculture And Water Pumping,ALAMEDA,R-AGR-PUMP,Exception,2,2,0.0,,39301.41,19650.71,0,0,0,2
2024-01,Agriculture And Water Pumping,ALAMEDA,R-AGR-PUMP,Generated,3,3,15781.35,5260.45,63838.34,21279.45,0,3,0,0
2024-01,Agriculture And Water Pumping,ALAMEDA,R-AGR-PUMP,Paid,9,9,25099.53,2788.84,108865.53,12096.17,9,0,0,0
2024-01,Agriculture And Water Pumping,AMADOR,R-AGR-PUMP,Paid,1,1,1659.67,1659.67,7923.36,7923.36,1,0,0,0
2024-01,Agriculture And Water Pumping,BUTTE,R-AGR-PUMP,Paid,1,1,2388.03,2388.03,10640.87,10640.87,1,0,0,0
2024-01,Agriculture And Water Pumping,CONTRA COSTA,R-AGR-PUMP,Exception,2,2,0.0,,17295.78,17295.78,0,0,0,2
2024-01,Agriculture And Water Pumping,CONTRA COSTA,R-AGR-PUMP,Generated,1,1,7154.1,7154.1,28292.98,28292.98,0,1,0,0
2024-01,Agriculture And Water Pumping,CONTRA COSTA,R-AGR-PUMP,Paid,9,9,22377.01,2486.33,99044.55,11004.95,9,0,0,0
2024-01,Agriculture And Water Pumping,CONTRA COSTA,R-AGR-PUMP,Past Due,2,2,7451.41,3725.7,31190.42,15595.21,0,0,2,0
2024-01,Agriculture And Water Pumping,EL DORADO,R-AGR-PUMP,Paid,2,2,4829.68,2414.84,21480.32,10740.16,2,0,0,0
2024-01,Agriculture And Water Pumping,FRESNO,R-AGR-PUMP,Generated,2,2,5484.69,2742.35,23906.26,11953.13,0,2,0,0
2024-01,Agriculture And Water Pumping,FRESNO,R-AGR-PUMP,Paid,6,6,14255.47,2375.91,63403.12,10567.19,6,0,0,0
2024-01,Agriculture And Water Pumping,FRESNO,R-AGR-PUMP,Past Due,2,2,3849.39,1924.7,17849.6,8924.8,0,0,2,0
2024-01,Agriculture And Water Pumping,KERN,R-AGR-PUMP,Exception,3,3,0.0,,24873.48,12436.74,0,0,0,3
2024-01,Agriculture And Water Pumping,KERN,R-AGR-PUMP,Generated,4,4,10011.74,2502.93,43983.32,10995.83,0,4,0,0
2024-01,Agriculture And Water Pumping,KERN,R-AGR-PUMP,Paid,6,6,20105.95,3350.99,85244.31,14207.39,6,0,0,0
2024-01,Agriculture And Water Pumping,KERN,R-AGR-PUMP,Past Due,1,1,9170.65,9170.65,35761.65,35761.65,0,0,1,0
2024-01,Agriculture And Water Pumping,KINGS,R-AGR-PUMP,Exception,1,1,0.0,,21752.95,21752.95,0,0,0,1
2024-01,Agriculture And Water Pumping,KINGS,R-AGR-PUMP,Generated,1,1,1221.71,1221.71,5733.55,5733.55,0,1,0,0
2024-01,Agriculture And Water Pumping,MERCED,R-AGR-PUMP,Paid,4,4,6967.19,1741.8,32239.64,8059.91,4,0,0,0
2024-01,Agriculture And Water Pumping,MERCED,R-AGR-PUMP,Past Due,1,1,3304.95,3304.95,14036.86,14036.86,0,0,1,0
2024-01,Agriculture And Water Pumping,MONTEREY,R-AGR-PUMP,Paid,3,3,8160.62,2720.21,35613.43,11871.14,3,0,0,0
