billing_cycle_id,customer_segment,county,exception_type,severity,resolution_status,exception_count,affected_accounts,open_exceptions,in_review_exceptions,resolved_exceptions,high_severity_exceptions,medium_severity_exceptions
2024-01,Agriculture And Water Pumping,ALAMEDA,Inactive Account,High,Open,1,1,1,0,0,1,0
2024-01,Agriculture And Water Pumping,ALAMEDA,Inactive Account,High,Resolved,1,1,0,0,1,1,0
2024-01,Agriculture And Water Pumping,CONTRA COSTA,Inactive Account,High,Resolved,1,1,0,0,1,1,0
2024-01,Agriculture And Water Pumping,CONTRA COSTA,Missing Meter Read,Medium,Open,1,1,1,0,0,0,1
2024-01,Agriculture And Water Pumping,KERN,Inactive Account,High,In Review,1,1,0,1,0,1,0
2024-01,Agriculture And Water Pumping,KERN,Inactive Account,High,Open,1,1,1,0,0,1,0
2024-01,Agriculture And Water Pumping,KERN,Invalid Meter Read,High,In Review,1,1,0,1,0,1,0
2024-01,Agriculture And Water Pumping,KINGS,Inactive Account,High,In Review,1,1,0,1,0,1,0
2024-01,Agriculture And Water Pumping,SAN JOAQUIN,Invalid Meter Read,High,Resolved,1,1,0,0,1,1,0
2024-01,Agriculture And Water Pumping,SAN JOAQUIN,Missing Meter Read,Medium,Resolved,1,1,0,0,1,0,1
2024-01,Commercial,ALAMEDA,Inactive Account,High,Open,3,3,3,0,0,3,0
2024-01,Commercial,ALAMEDA,Inactive Account,High,Resolved,2,2,0,0,2,2,0
2024-01,Commercial,ALAMEDA,Missing Meter Read,Medium,Open,1,1,1,0,0,0,1
2024-01,Commercial,ALAMEDA,Missing Meter Read,Medium,Resolved,2,2,0,0,2,0,2
2024-01,Commercial,CONTRA COSTA,Inactive Account,High,In Review,1,1,0,1,0,1,0
2024-01,Commercial,CONTRA COSTA,Inactive Account,High,Resolved,1,1,0,0,1,1,0
2024-01,Commercial,CONTRA COSTA,Invalid Meter Read,High,Open,1,1,1,0,0,1,0
2024-01,Commercial,CONTRA COSTA,Missing Meter Read,Medium,Resolved,1,1,0,0,1,0,1
2024-01,Commercial,EL DORADO,Invalid Meter Read,High,Resolved,1,1,0,0,1,1,0
2024-01,Commercial,FRESNO,Invalid Meter Read,High,Resolved,1,1,0,0,1,1,0
2024-01,Commercial,FRESNO,Missing Meter Read,Medium,Open,1,1,1,0,0,0,1
2024-01,Commercial,GLENN,Inactive Account,High,Resolved,1,1,0,0,1,1,0
2024-01,Commercial,HUMBOLDT,Inactive Account,High,Resolved,1,1,0,0,1,1,0
2024-01,Commercial,KERN,Inactive Account,High,In Review,1,1,0,1,0,1,0
2024-01,Commercial,KERN,Inactive Account,High,Open,1,1,1,0,0,1,0
2024-01,Commercial,KERN,Invalid Meter Read,High,In Review,1,1,0,1,0,1,0
2024-01,Commercial,KERN,Missing Meter Read,Medium,Resolved,2,2,0,0,2,0,2
2024-01,Commercial,MADERA,Inactive Account,High,Resolved,2,2,0,0,2,2,0
2024-01,Commercial,MADERA,Missing Meter Read,Medium,In Review,1,1,0,1,0,0,1
2024-01,Commercial,MERCED,Inactive Account,High,In Review,1,1,0,1,0,1,0
