billing_cycle_id,accounts_billed,total_bills,paid_bills,generated_bills,past_due_bills,exception_bills,total_bill_amount,avg_bill_amount,total_kwh_usage,billing_exceptions,open_exceptions,in_review_exceptions,resolved_exceptions,service_requests,open_service_requests,in_progress_service_requests,closed_service_requests,bill_exception_rate_pct,past_due_rate_pct
2024-01,5000,5000,3271,888,395,446,3486346.4,765.56,15364540.59,446,132,60,254,204,47,38,112,8.92,7.9
2024-02,5000,5000,3284,890,375,451,3019801.79,663.84,13477209.44,451,138,70,243,217,49,39,118,9.02,7.5
2024-03,5000,5000,3289,902,366,443,2967342.36,651.16,13355506.15,443,135,66,242,189,40,23,116,8.86,7.32
2024-04,5000,5000,3256,906,390,448,2800526.57,615.23,12678500.02,448,139,68,241,198,49,27,110,8.96,7.8
2024-05,5000,5000,3298,895,350,457,2849878.1,627.31,12908880.53,457,131,70,256,201,38,23,124,9.14,7.0
2024-06,5000,5000,3243,948,340,469,3177537.96,701.29,14223252.82,469,144,80,245,220,42,43,122,9.38,6.8
2024-07,5000,5000,3223,971,364,442,4432771.25,972.53,19095483.96,442,127,71,244,216,37,38,123,8.84,7.28
2024-08,5000,5000,3234,975,347,444,4376210.22,960.54,18920978.99,444,118,74,252,200,46,28,118,8.88,6.94
2024-09,5000,5000,3196,976,372,456,3671254.9,807.93,16116547.28,456,141,71,244,206,46,38,110,9.12,7.44
2024-10,5000,5000,3329,891,332,448,3820346.03,839.27,16721511.28,448,137,71,240,212,51,36,118,8.96,6.64
2024-11,5000,5000,3312,894,327,467,2761823.76,609.27,12435486.3,467,146,68,253,227,51,40,118,9.34,6.54
2024-12,5000,5000,3245,938,385,432,3488394.98,763.66,15376908.9,432,135,71,226,210,41,36,120,8.64,7.7
