billing_cycle_id,customer_segment,county,request_type,priority,request_status,service_request_count,affected_accounts,open_requests,in_progress_requests,closed_requests,cancelled_requests,critical_requests,high_priority_requests,medium_priority_requests,low_priority_requests
2024-01,Agriculture And Water Pumping,ALAMEDA,Account Status Review,Medium,Open,1,1,1,0,0,0,0,0,1,0
2024-01,Agriculture And Water Pumping,KERN,High Bill Inquiry,Critical,Closed,1,1,0,0,1,0,1,0,0,0
2024-01,Agriculture And Water Pumping,KERN,Meter Data Investigation,Medium,Closed,1,1,0,0,1,0,0,0,1,0
2024-01,Agriculture And Water Pumping,MONTEREY,High Bill Inquiry,Low,Closed,1,1,0,0,1,0,0,0,0,1
2024-01,Agriculture And Water Pumping,SAN JOAQUIN,Missing Read Investigation,Medium,Open,1,1,1,0,0,0,0,0,1,0
2024-01,Agriculture And Water Pumping,SAN LUIS OBISPO,Outage Follow Up,High,Closed,1,1,0,0,1,0,0,1,0,0
2024-01,Agriculture And Water Pumping,SANTA CRUZ,Outage Follow Up,High,Closed,1,1,0,0,1,0,0,1,0,0
2024-01,Commercial,ALAMEDA,Account Status Review,Low,Open,1,1,1,0,0,0,0,0,0,1
2024-01,Commercial,ALAMEDA,High Bill Inquiry,Low,Closed,1,1,0,0,1,0,0,0,0,1
2024-01,Commercial,ALAMEDA,Missing Read Investigation,Low,Open,1,1,1,0,0,0,0,0,0,1
2024-01,Commercial,FRESNO,Meter Data Investigation,High,Closed,1,1,0,0,1,0,0,1,0,0
2024-01,Commercial,FRESNO,Missing Read Investigation,High,Closed,1,1,0,0,1,0,0,1,0,0
2024-01,Commercial,KERN,Account Status Review,High,Closed,1,1,0,0,1,0,0,1,0,0
2024-01,Commercial,KERN,Meter Data Investigation,Low,Closed,1,1,0,0,1,0,0,0,0,1
2024-01,Commercial,KERN,Missing Read Investigation,Low,Open,1,1,1,0,0,0,0,0,0,1
2024-01,Commercial,MADERA,Missing Read Investigation,High,In Progress,1,1,0,1,0,0,0,1,0,0
2024-01,Commercial,MERCED,Account Status Review,Medium,Closed,1,1,0,0,1,0,0,0,1,0
2024-01,Commercial,MERCED,Outage Follow Up,Medium,In Progress,1,1,0,1,0,0,0,0,1,0
2024-01,Commercial,NEVADA,Account Status Review,Medium,Open,1,1,1,0,0,0,0,0,1,0
2024-01,Commercial,PLACER,High Bill Inquiry,High,In Progress,1,1,0,1,0,0,0,1,0,0
2024-01,Commercial,SAN JOAQUIN,Meter Data Investigation,High,Open,1,1,1,0,0,0,0,1,0,0
2024-01,Commercial,SANTA BARBARA,High Bill Inquiry,Low,Closed,1,1,0,0,1,0,0,0,0,1
2024-01,Commercial,SANTA CLARA,Account Status Review,Medium,Cancelled,1,1,0,0,0,1,0,0,1,0
2024-01,Commercial,SANTA CLARA,Account Status Review,Medium,Closed,1,1,0,0,1,0,0,0,1,0
2024-01,Commercial,SANTA CLARA,Account Status Review,Medium,In Progress,2,2,0,2,0,0,0,0,2,0
2024-01,Commercial,SANTA CLARA,High Bill Inquiry,Medium,Closed,1,1,0,0,1,0,0,0,1,0
2024-01,Commercial,SANTA CLARA,Meter Data Investigation,High,Open,1,1,1,0,0,0,0,1,0,0
2024-01,Commercial,SANTA CLARA,Missing Read Investigation,Medium,Closed,1,1,0,0,1,0,0,0,1,0
2024-01,Commercial,SANTA CLARA,Missing Read Investigation,Medium,Open,1,1,1,0,0,0,0,0,1,0
2024-01,Commercial,SANTA CLARA,Outage Follow Up,Medium,Closed,1,1,0,0,1,0,0,0,1,0
2024-01,Commercial,SOLANO,Account Status Review,Medium,Closed,1,1,0,0,1,0,0,0,1,0
2024-01,Commercial,TUOLUMNE,Outage Follow Up,Medium,Closed,1,1,0,0,1,0,0,0,1,0
2024-01,Commercial,YUBA,Account Status Review,Medium,In Progress,1,1,0,1,0,0,0,0,1,0
2024-01,Industrial,FRESNO,Account Status Review,Medium,Open,1,1,1,0,0,0,0,0,1,0
2024-01,Industrial,KERN,Account Status Review,Low,In Progress,1,1,0,1,0,0,0,0,0,1
2024-01,Industrial,SAN FRANCISCO,Account Status Review,Low,In Progress,1,1,0,1,0,0,0,0,0,1
2024-01,Industrial,SAN JOAQUIN,Account Status Review,Medium,Closed,1,1,0,0,1,0,0,0,1,0
2024-01,Industrial,SOLANO,Account Status Review,Medium,In Progress,1,1,0,1,0,0,0,0,1,0
2024-01,Mining,FRESNO,Account Status Review,Low,Closed,1,1,0,0,1,0,0,0,0,1
2024-01,Mining,SANTA CLARA,Account Status Review,Medium,Closed,1,1,0,0,1,0,0,0,1,0
2024-01,Residential,ALAMEDA,Account Status Review,High,Closed,2,2,0,0,2,0,0,2,0,0
2024-01,Residential,ALAMEDA,Account Status Review,High,In Progress,1,1,0,1,0,0,0,1,0,0
2024-01,Residential,ALAMEDA,Account Status Review,Low,Closed,1,1,0,0,1,0,0,0,0,1
2024-01,Residential,ALAMEDA,Account Status Review,Low,In Progress,2,2,0,2,0,0,0,0,0,2
2024-01,Residential,ALAMEDA,Account Status Review,Low,Open,1,1,1,0,0,0,0,0,0,1
2024-01,Residential,ALAMEDA,Account Status Review,Medium,Closed,4,4,0,0,4,0,0,0,4,0
2024-01,Residential,ALAMEDA,Meter Data Investigation,High,Open,1,1,1,0,0,0,0,1,0,0
2024-01,Residential,ALAMEDA,Meter Data Investigation,Low,Closed,1,1,0,0,1,0,0,0,0,1
2024-01,Residential,ALAMEDA,Missing Read Investigation,High,Open,1,1,1,0,0,0,0,1,0,0
2024-01,Residential,ALAMEDA,Missing Read Investigation,Medium,Closed,1,1,0,0,1,0,0,0,1,0
2024-01,Residential,ALAMEDA,Missing Read Investigation,Medium,In Progress,1,1,0,1,0,0,0,0,1,0
2024-01,Residential,ALAMEDA,Outage Follow Up,Medium,In Progress,1,1,0,1,0,0,0,0,1,0
2024-01,Residential,ALAMEDA,Rate Plan Change,Medium,Closed,1,1,0,0,1,0,0,0,1,0
2024-01,Residential,BUTTE,Account Status Review,Low,Closed,1,1,0,0,1,0,0,0,0,1
2024-01,Residential,BUTTE,Account Status Review,Low,In Progress,1,1,0,1,0,0,0,0,0,1
2024-01,Residential,CONTRA COSTA,Account Status Review,Low,Closed,5,5,0,0,5,0,0,0,0,5
2024-01,Residential,CONTRA COSTA,Account Status Review,Low,In Progress,1,1,0,1,0,0,0,0,0,1
2024-01,Residential,CONTRA COSTA,Account Status Review,Low,Open,1,1,1,0,0,0,0,0,0,1
2024-01,Residential,CONTRA COSTA,Account Status Review,Medium,Closed,4,4,0,0,4,0,0,0,4,0
2024-01,Residential,CONTRA COSTA,Account Status Review,Medium,In Progress,1,1,0,1,0,0,0,0,1,0
2024-01,Residential,CONTRA COSTA,Account Status Review,Medium,Open,3,3,3,0,0,0,0,0,3,0
2024-01,Residential,CONTRA COSTA,Missing Read Investigation,High,Closed,1,1,0,0,1,0,0,1,0,0
2024-01,Residential,CONTRA COSTA,Outage Follow Up,Low,Closed,1,1,0,0,1,0,0,0,0,1
2024-01,Residential,CONTRA COSTA,Outage Follow Up,Medium,In Progress,1,1,0,1,0,0,0,0,1,0
2024-01,Residential,EL DORADO,Account Status Review,Low,In Progress,1,1,0,1,0,0,0,0,0,1
2024-01,Residential,EL DORADO,Missing Read Investigation,Medium,Closed,1,1,0,0,1,0,0,0,1,0
2024-01,Residential,FRESNO,Account Status Review,High,Open,2,2,2,0,0,0,0,2,0,0
2024-01,Residential,FRESNO,Account Status Review,Medium,Closed,1,1,0,0,1,0,0,0,1,0
2024-01,Residential,FRESNO,Account Status Review,Medium,In Progress,1,1,0,1,0,0,0,0,1,0
2024-01,Residential,FRESNO,Account Status Review,Medium,Open,2,2,2,0,0,0,0,0,2,0
2024-01,Residential,FRESNO,Meter Issue,Low,Open,1,1,1,0,0,0,0,0,0,1
2024-01,Residential,FRESNO,Outage Follow Up,Medium,Closed,1,1,0,0,1,0,0,0,1,0
2024-01,Residential,FRESNO,Rate Plan Change,High,In Progress,1,1,0,1,0,0,0,1,0,0
2024-01,Residential,FRESNO,Rate Plan Change,Low,Closed,1,1,0,0,1,0,0,0,0,1
2024-01,Residential,GLENN,Account Status Review,Medium,Closed,1,1,0,0,1,0,0,0,1,0
2024-01,Residential,KERN,Account Status Review,High,Closed,3,3,0,0,3,0,0,3,0,0
2024-01,Residential,KERN,Account Status Review,High,In Progress,1,1,0,1,0,0,0,1,0,0
2024-01,Residential,KERN,Account Status Review,Low,Closed,2,2,0,0,2,0,0,0,0,2
2024-01,Residential,KERN,Account Status Review,Medium,Closed,5,5,0,0,5,0,0,0,5,0
2024-01,Residential,KERN,Account Status Review,Medium,In Progress,1,1,0,1,0,0,0,0,1,0
2024-01,Residential,KERN,Account Status Review,Medium,Open,4,4,4,0,0,0,0,0,4,0
2024-01,Residential,KERN,High Bill Inquiry,High,Closed,1,1,0,0,1,0,0,1,0,0
2024-01,Residential,KERN,High Bill Inquiry,Medium,Cancelled,1,1,0,0,0,1,0,0,1,0
2024-01,Residential,KERN,High Bill Inquiry,Medium,In Progress,1,1,0,1,0,0,0,0,1,0
2024-01,Residential,KERN,Meter Data Investigation,High,Cancelled,1,1,0,0,0,1,0,1,0,0
2024-01,Residential,KERN,Meter Data Investigation,Low,Closed,1,1,0,0,1,0,0,0,0,1
2024-01,Residential,KERN,Meter Data Investigation,Medium,Closed,2,2,0,0,2,0,0,0,2,0
2024-01,Residential,KERN,Meter Data Investigation,Medium,Open,1,1,1,0,0,0,0,0,1,0
2024-01,Residential,KERN,Missing Read Investigation,High,Open,2,2,2,0,0,0,0,2,0,0
2024-01,Residential,KERN,Missing Read Investigation,Low,Closed,2,2,0,0,2,0,0,0,0,2
2024-01,Residential,KERN,Missing Read Investigation,Low,In Progress,1,1,0,1,0,0,0,0,0,1
2024-01,Residential,KERN,Missing Read Investigation,Low,Open,1,1,1,0,0,0,0,0,0,1
2024-01,Residential,KERN,Missing Read Investigation,Medium,Closed,1,1,0,0,1,0,0,0,1,0
2024-01,Residential,KERN,Outage Follow Up,Low,Closed,1,1,0,0,1,0,0,0,0,1
2024-01,Residential,KERN,Outage Follow Up,Medium,Open,1,1,1,0,0,0,0,0,1,0
2024-01,Residential,KINGS,Account Status Review,High,Closed,1,1,0,0,1,0,0,1,0,0
2024-01,Residential,KINGS,Account Status Review,Medium,Closed,1,1,0,0,1,0,0,0,1,0
2024-01,Residential,KINGS,Account Status Review,Medium,Open,1,1,1,0,0,0,0,0,1,0
2024-01,Residential,KINGS,Missing Read Investigation,Low,Closed,1,1,0,0,1,0,0,0,0,1
2024-01,Residential,KINGS,Outage Follow Up,Medium,In Progress,1,1,0,1,0,0,0,0,1,0
2024-01,Residential,LAKE,Meter Data Investigation,Medium,Closed,1,1,0,0,1,0,0,0,1,0
2024-01,Residential,MADERA,Account Status Review,Medium,Closed,1,1,0,0,1,0,0,0,1,0
2024-01,Residential,MADERA,Account Status Review,Medium,Open,1,1,1,0,0,0,0,0,1,0
2024-01,Residential,MARIN,Account Status Review,Medium,Open,1,1,1,0,0,0,0,0,1,0
2024-01,Residential,MARIN,Missing Read Investigation,Low,Closed,1,1,0,0,1,0,0,0,0,1
2024-01,Residential,MERCED,Account Status Review,High,Closed,1,1,0,0,1,0,0,1,0,0
2024-01,Residential,MERCED,Account Status Review,Low,Closed,1,1,0,0,1,0,0,0,0,1
2024-01,Residential,MERCED,Account Status Review,Low,Open,1,1,1,0,0,0,0,0,0,1
2024-01,Residential,MERCED,Account Status Review,Medium,Closed,1,1,0,0,1,0,0,0,1,0
2024-01,Residential,MERCED,Account Status Review,Medium,In Progress,1,1,0,1,0,0,0,0,1,0
2024-01,Residential,MERCED,Meter Issue,Medium,Closed,1,1,0,0,1,0,0,0,1,0
2024-01,Residential,MERCED,Meter Issue,Medium,Open,1,1,1,0,0,0,0,0,1,0
2024-01,Residential,MERCED,Missing Read Investigation,Critical,Closed,1,1,0,0,1,0,1,0,0,0
2024-01,Residential,MERCED,Missing Read Investigation,Medium,Closed,1,1,0,0,1,0,0,0,1,0
2024-01,Residential,MERCED,Missing Read Investigation,Medium,In Progress,1,1,0,1,0,0,0,0,1,0
2024-01,Residential,MONTEREY,Account Status Review,High,Open,1,1,1,0,0,0,0,1,0,0
2024-01,Residential,MONTEREY,Account Status Review,Low,Cancelled,1,1,0,0,0,1,0,0,0,1
2024-01,Residential,MONTEREY,Account Status Review,Medium,Cancelled,1,1,0,0,0,1,0,0,1,0
2024-01,Residential,MONTEREY,Account Status Review,Medium,Closed,2,2,0,0,2,0,0,0,2,0
2024-01,Residential,MONTEREY,Meter Data Investigation,Medium,Closed,1,1,0,0,1,0,0,0,1,0
2024-01,Residential,NAPA,Account Status Review,High,Closed,1,1,0,0,1,0,0,1,0,0
2024-01,Residential,NAPA,Account Status Review,Low,Open,1,1,1,0,0,0,0,0,0,1
2024-01,Residential,NEVADA,Missing Read Investigation,Critical,Open,1,1,1,0,0,0,1,0,0,0
2024-01,Residential,PLACER,Account Status Review,Critical,Closed,1,1,0,0,1,0,1,0,0,0
2024-01,Residential,PLACER,Account Status Review,Critical,Open,2,2,2,0,0,0,2,0,0,0
2024-01,Residential,PLACER,Account Status Review,Low,Closed,1,1,0,0,1,0,0,0,0,1
2024-01,Residential,PLACER,Account Status Review,Medium,Cancelled,1,1,0,0,0,1,0,0,1,0
2024-01,Residential,PLACER,Account Status Review,Medium,Closed,2,2,0,0,2,0,0,0,2,0
2024-01,Residential,PLACER,Account Status Review,Medium,Open,1,1,1,0,0,0,0,0,1,0
2024-01,Residential,PLACER,Missing Read Investigation,Medium,Open,1,1,1,0,0,0,0,0,1,0
2024-01,Residential,PLUMAS,High Bill Inquiry,Low,In Progress,1,1,0,1,0,0,0,0,0,1
2024-01,Residential,SAN FRANCISCO,Account Status Review,High,In Progress,1,1,0,1,0,0,0,1,0,0
2024-01,Residential,SAN FRANCISCO,Account Status Review,Low,Closed,1,1,0,0,1,0,0,0,0,1
2024-01,Residential,SAN FRANCISCO,Account Status Review,Medium,Closed,2,2,0,0,2,0,0,0,2,0
2024-01,Residential,SAN FRANCISCO,Account Status Review,Medium,In Progress,1,1,0,1,0,0,0,0,1,0
2024-01,Residential,SAN FRANCISCO,Missing Read Investigation,Low,Closed,1,1,0,0,1,0,0,0,0,1
2024-01,Residential,SAN FRANCISCO,Outage Follow Up,High,Closed,1,1,0,0,1,0,0,1,0,0
2024-01,Residential,SAN FRANCISCO,Outage Follow Up,High,In Progress,1,1,0,1,0,0,0,1,0,0
2024-01,Residential,SAN JOAQUIN,Account Status Review,Low,In Progress,1,1,0,1,0,0,0,0,0,1
2024-01,Residential,SAN JOAQUIN,Account Status Review,Medium,Closed,3,3,0,0,3,0,0,0,3,0
2024-01,Residential,SAN JOAQUIN,Meter Issue,Low,Closed,1,1,0,0,1,0,0,0,0,1
2024-01,Residential,SAN JOAQUIN,Missing Read Investigation,High,Closed,1,1,0,0,1,0,0,1,0,0
2024-01,Residential,SAN JOAQUIN,Missing Read Investigation,Low,Closed,1,1,0,0,1,0,0,0,0,1
2024-01,Residential,SAN LUIS OBISPO,Account Status Review,Low,Closed,1,1,0,0,1,0,0,0,0,1
2024-01,Residential,SAN LUIS OBISPO,Account Status Review,Medium,Closed,1,1,0,0,1,0,0,0,1,0
2024-01,Residential,SAN MATEO,Account Status Review,High,Closed,1,1,0,0,1,0,0,1,0,0
2024-01,Residential,SAN MATEO,Account Status Review,High,In Progress,1,1,0,1,0,0,0,1,0,0
2024-01,Residential,SAN MATEO,Account Status Review,Medium,Cancelled,1,1,0,0,0,1,0,0,1,0
2024-01,Residential,SAN MATEO,Account Status Review,Medium,Closed,1,1,0,0,1,0,0,0,1,0
2024-01,Residential,SAN MATEO,Account Status Review,Medium,In Progress,1,1,0,1,0,0,0,0,1,0
2024-01,Residential,SAN MATEO,Missing Read Investigation,High,In Progress,1,1,0,1,0,0,0,1,0,0
2024-01,Residential,SAN MATEO,Missing Read Investigation,Medium,Closed,2,2,0,0,2,0,0,0,2,0
2024-01,Residential,SAN MATEO,Missing Read Investigation,Medium,In Progress,1,1,0,1,0,0,0,0,1,0
2024-01,Residential,SAN MATEO,Outage Follow Up,Medium,Closed,1,1,0,0,1,0,0,0,1,0
2024-01,Residential,SANTA BARBARA,Account Status Review,Critical,In Progress,1,1,0,1,0,0,1,0,0,0
2024-01,Residential,SANTA BARBARA,Missing Read Investigation,Medium,Cancelled,1,1,0,0,0,1,0,0,1,0
2024-01,Residential,SANTA CLARA,Account Status Review,High,Closed,3,3,0,0,3,0,0,3,0,0
2024-01,Residential,SANTA CLARA,Account Status Review,Low,Closed,3,3,0,0,3,0,0,0,0,3
2024-01,Residential,SANTA CLARA,Account Status Review,Low,In Progress,1,1,0,1,0,0,0,0,0,1
2024-01,Residential,SANTA CLARA,Account Status Review,Medium,Closed,5,5,0,0,5,0,0,0,5,0
2024-01,Residential,SANTA CLARA,Account Status Review,Medium,In Progress,2,2,0,2,0,0,0,0,2,0
2024-01,Residential,SANTA CLARA,Account Status Review,Medium,Open,1,1,1,0,0,0,0,0,1,0
2024-01,Residential,SANTA CLARA,High Bill Inquiry,Medium,Closed,1,1,0,0,1,0,0,0,1,0
2024-01,Residential,SANTA CLARA,Meter Data Investigation,High,Closed,1,1,0,0,1,0,0,1,0,0
2024-01,Residential,SANTA CLARA,Meter Data Investigation,Low,Closed,1,1,0,0,1,0,0,0,0,1
2024-01,Residential,SANTA CLARA,Meter Data Investigation,Medium,Closed,1,1,0,0,1,0,0,0,1,0
2024-01,Residential,SANTA CLARA,Meter Data Investigation,Medium,Open,1,1,1,0,0,0,0,0,1,0
2024-01,Residential,SANTA CLARA,Missing Read Investigation,High,Closed,1,1,0,0,1,0,0,1,0,0
2024-01,Residential,SANTA CLARA,Missing Read Investigation,High,In Progress,1,1,0,1,0,0,0,1,0,0
2024-01,Residential,SANTA CLARA,Missing Read Investigation,Low,Closed,2,2,0,0,2,0,0,0,0,2
2024-01,Residential,SANTA CLARA,Missing Read Investigation,Medium,In Progress,2,2,0,2,0,0,0,0,2,0
2024-01,Residential,SANTA CLARA,Missing Read Investigation,Medium,Open,1,1,1,0,0,0,0,0,1,0
2024-01,Residential,SANTA CLARA,Outage Follow Up,Medium,Closed,1,1,0,0,1,0,0,0,1,0
2024-01,Residential,SANTA CRUZ,Account Status Review,High,In Progress,1,1,0,1,0,0,0,1,0,0
2024-01,Residential,SANTA CRUZ,Account Status Review,High,Open,1,1,1,0,0,0,0,1,0,0
2024-01,Residential,SHASTA,Account Status Review,Low,Open,1,1,1,0,0,0,0,0,0,1
2024-01,Residential,SHASTA,Meter Data Investigation,High,Closed,1,1,0,0,1,0,0,1,0,0
2024-01,Residential,SHASTA,Missing Read Investigation,Low,Closed,1,1,0,0,1,0,0,0,0,1
2024-01,Residential,SOLANO,Account Status Review,High,Closed,1,1,0,0,1,0,0,1,0,0
2024-01,Residential,SOLANO,Account Status Review,Medium,Open,1,1,1,0,0,0,0,0,1,0
2024-01,Residential,SOLANO,Missing Read Investigation,Low,Closed,1,1,0,0,1,0,0,0,0,1
2024-01,Residential,SOLANO,Missing Read Investigation,Medium,In Progress,1,1,0,1,0,0,0,0,1,0
2024-01,Residential,SONOMA,Account Status Review,Critical,Closed,1,1,0,0,1,0,1,0,0,0
