exception_id,bill_id,account_id,customer_id,billing_cycle_id,customer_segment,county,exception_type,severity,created_date,resolved_date,resolution_status
EXC00000001,BILL00000009,ACCT000001,CUST000001,2024-09,Residential,KERN,Invalid Meter Read,High,2024-10-03,2024-10-05,Resolved
EXC00000002,BILL00000016,ACCT000002,CUST000002,2024-04,Agriculture And Water Pumping,KERN,Missing Meter Read,Medium,2024-05-03,2024-05-08,Resolved
EXC00000003,BILL00000017,ACCT000002,CUST000002,2024-05,Agriculture And Water Pumping,KERN,Missing Meter Read,Medium,2024-06-03,,Open
EXC00000004,BILL00000020,ACCT000002,CUST000002,2024-08,Agriculture And Water Pumping,KERN,Invalid Meter Read,High,2024-09-03,,Open
EXC00000005,BILL00000041,ACCT000004,CUST000004,2024-05,Residential,SAN MATEO,Missing Meter Read,Medium,2024-06-03,2024-06-15,Resolved
EXC00000006,BILL00000047,ACCT000004,CUST000004,2024-11,Residential,SAN MATEO,Missing Meter Read,Medium,2024-12-03,2024-12-04,Resolved
EXC00000007,BILL00000050,ACCT000005,CUST000005,2024-02,Residential,MONTEREY,Missing Meter Read,Medium,2024-03-03,,Open
EXC00000008,BILL00000087,ACCT000008,CUST000008,2024-03,Commercial,SAN JOAQUIN,Missing Meter Read,Medium,2024-04-03,,In Review
EXC00000009,BILL00000108,ACCT000009,CUST000009,2024-12,Residential,SANTA CLARA,Invalid Meter Read,High,2025-01-03,,In Review
EXC00000010,BILL00000128,ACCT000011,CUST000011,2024-08,Residential,SANTA CLARA,Missing Meter Read,Medium,2024-09-03,2024-09-08,Resolved
EXC00000011,BILL00000143,ACCT000012,CUST000012,2024-11,Agriculture And Water Pumping,FRESNO,Missing Meter Read,Medium,2024-12-03,,Open
EXC00000012,BILL00000171,ACCT000015,CUST000015,2024-03,Residential,SANTA CLARA,Invalid Meter Read,High,2024-04-03,,In Review
EXC00000013,BILL00000181,ACCT000016,CUST000016,2024-01,Residential,SANTA CLARA,Invalid Meter Read,High,2024-02-03,2024-02-07,Resolved
EXC00000014,BILL00000231,ACCT000020,CUST000020,2024-03,Residential,BUTTE,Invalid Meter Read,High,2024-04-03,2024-04-15,Resolved
EXC00000015,BILL00000238,ACCT000020,CUST000020,2024-10,Residential,BUTTE,Missing Meter Read,Medium,2024-11-03,,Open
EXC00000016,BILL00000246,ACCT000021,CUST000021,2024-06,Residential,FRESNO,Invalid Meter Read,High,2024-07-03,2024-07-16,Resolved
EXC00000017,BILL00000256,ACCT000022,CUST000022,2024-04,Residential,KERN,Missing Meter Read,Medium,2024-05-03,,Open
EXC00000018,BILL00000258,ACCT000022,CUST000022,2024-06,Residential,KERN,Missing Meter Read,Medium,2024-07-03,,Open
EXC00000019,BILL00000357,ACCT000030,CUST000030,2024-09,Residential,SANTA CLARA,Missing Meter Read,Medium,2024-10-03,2024-10-08,Resolved
EXC00000020,BILL00000373,ACCT000032,CUST000032,2024-01,Residential,PLACER,Inactive Account,High,2024-02-03,,Open
EXC00000021,BILL00000374,ACCT000032,CUST000032,2024-02,Residential,PLACER,Inactive Account,High,2024-03-03,2024-03-09,Resolved
EXC00000022,BILL00000375,ACCT000032,CUST000032,2024-03,Residential,PLACER,Inactive Account,High,2024-04-03,,Open
EXC00000023,BILL00000376,ACCT000032,CUST000032,2024-04,Residential,PLACER,Inactive Account,High,2024-05-03,2024-05-11,Resolved
EXC00000024,BILL00000377,ACCT000032,CUST000032,2024-05,Residential,PLACER,Inactive Account,High,2024-06-03,,In Review
EXC00000025,BILL00000378,ACCT000032,CUST000032,2024-06,Residential,PLACER,Inactive Account,High,2024-07-03,2024-07-08,Resolved
EXC00000026,BILL00000379,ACCT000032,CUST000032,2024-07,Residential,PLACER,Inactive Account,High,2024-08-03,2024-08-16,Resolved
EXC00000027,BILL00000380,ACCT000032,CUST000032,2024-08,Residential,PLACER,Inactive Account,High,2024-09-03,,Open
EXC00000028,BILL00000381,ACCT000032,CUST000032,2024-09,Residential,PLACER,Inactive Account,High,2024-10-03,,Open
EXC00000029,BILL00000382,ACCT000032,CUST000032,2024-10,Residential,PLACER,Inactive Account,High,2024-11-03,,Open
EXC00000030,BILL00000383,ACCT000032,CUST000032,2024-11,Residential,PLACER,Inactive Account,High,2024-12-03,2024-12-16,Resolved
EXC00000031,BILL00000384,ACCT000032,CUST000032,2024-12,Residential,PLACER,Inactive Account,High,2025-01-03,2025-01-09,Resolved
EXC00000032,BILL00000417,ACCT000035,CUST000035,2024-09,Agriculture And Water Pumping,SANTA CLARA,Missing Meter Read,Medium,2024-10-03,,In Review
EXC00000033,BILL00000465,ACCT000039,CUST000039,2024-09,Residential,SOLANO,Missing Meter Read,Medium,2024-10-03,2024-10-17,Resolved
EXC00000034,BILL00000503,ACCT000042,CUST000042,2024-11,Residential,NEVADA,Missing Meter Read,Medium,2024-12-03,2024-12-13,Resolved
EXC00000035,BILL00000514,ACCT000043,CUST000043,2024-10,Residential,SANTA CLARA,Invalid Meter Read,High,2024-11-03,2024-11-06,Resolved
EXC00000036,BILL00000516,ACCT000043,CUST000043,2024-12,Residential,SANTA CLARA,Missing Meter Read,Medium,2025-01-03,2025-01-17,Resolved
EXC00000037,BILL00000529,ACCT000045,CUST000045,2024-01,Residential,SANTA CRUZ,Missing Meter Read,Medium,2024-02-03,2024-02-05,Resolved
EXC00000038,BILL00000568,ACCT000048,CUST000048,2024-04,Residential,PLACER,Missing Meter Read,Medium,2024-05-03,2024-05-06,Resolved
EXC00000039,BILL00000581,ACCT000049,CUST000049,2024-05,Residential,SAN MATEO,Missing Meter Read,Medium,2024-06-03,2024-06-17,Resolved
EXC00000040,BILL00000589,ACCT000050,CUST000050,2024-01,Residential,PLACER,Inactive Account,High,2024-02-03,,Open
EXC00000041,BILL00000590,ACCT000050,CUST000050,2024-02,Residential,PLACER,Inactive Account,High,2024-03-03,2024-03-06,Resolved
EXC00000042,BILL00000591,ACCT000050,CUST000050,2024-03,Residential,PLACER,Inactive Account,High,2024-04-03,2024-04-09,Resolved
EXC00000043,BILL00000592,ACCT000050,CUST000050,2024-04,Residential,PLACER,Inactive Account,High,2024-05-03,2024-05-09,Resolved
EXC00000044,BILL00000593,ACCT000050,CUST000050,2024-05,Residential,PLACER,Inactive Account,High,2024-06-03,,Open
EXC00000045,BILL00000594,ACCT000050,CUST000050,2024-06,Residential,PLACER,Inactive Account,High,2024-07-03,,Open
EXC00000046,BILL00000595,ACCT000050,CUST000050,2024-07,Residential,PLACER,Inactive Account,High,2024-08-03,2024-08-06,Resolved
EXC00000047,BILL00000596,ACCT000050,CUST000050,2024-08,Residential,PLACER,Inactive Account,High,2024-09-03,,Open
EXC00000048,BILL00000597,ACCT000050,CUST000050,2024-09,Residential,PLACER,Inactive Account,High,2024-10-03,2024-10-13,Resolved
EXC00000049,BILL00000598,ACCT000050,CUST000050,2024-10,Residential,PLACER,Inactive Account,High,2024-11-03,,Open
EXC00000050,BILL00000599,ACCT000050,CUST000050,2024-11,Residential,PLACER,Inactive Account,High,2024-12-03,,Open
EXC00000051,BILL00000600,ACCT000050,CUST000050,2024-12,Residential,PLACER,Inactive Account,High,2025-01-03,2025-01-16,Resolved
EXC00000052,BILL00000712,ACCT000060,CUST000060,2024-04,Residential,SAN MATEO,Missing Meter Read,Medium,2024-05-03,2024-05-17,Resolved
