customer_id,customer_segment,county,customer_status,customer_start_date
CUST000001,Residential,KERN,Active,2017-07-12
CUST000002,Agriculture And Water Pumping,KERN,Active,2021-05-14
CUST000003,Residential,BUTTE,Active,2023-05-11
CUST000004,Residential,SAN MATEO,Active,2015-01-16
CUST000005,Residential,MONTEREY,Active,2024-11-05
CUST000006,Residential,SANTA CLARA,Active,2021-07-31
CUST000007,Residential,MERCED,Active,2015-12-22
CUST000008,Commercial,SAN JOAQUIN,Active,2017-04-09
CUST000009,Residential,SANTA CLARA,Active,2022-03-31
CUST000010,Residential,KERN,Active,2018-01-06
CUST000011,Residential,SANTA CLARA,Active,2023-02-23
CUST000012,Agriculture And Water Pumping,FRESNO,Active,2017-12-26
CUST000013,Commercial,PLACER,Active,2022-12-16
CUST000014,Residential,SANTA BARBARA,Active,2019-10-13
CUST000015,Residential,SANTA CLARA,Active,2015-08-02
CUST000016,Residential,SANTA CLARA,Active,2019-09-17
CUST000017,Residential,CONTRA COSTA,Active,2016-03-24
CUST000018,Residential,ALAMEDA,Active,2023-04-01
CUST000019,Residential,SAN FRANCISCO,Active,2024-08-05
CUST000020,Residential,BUTTE,Active,2019-04-18
CUST000021,Residential,FRESNO,Active,2023-09-22
CUST000022,Residential,KERN,Active,2022-10-05
CUST000023,Residential,NAPA,Active,2024-07-23
CUST000024,Residential,FRESNO,Active,2021-12-21
CUST000025,Residential,MENDOCINO,Active,2016-12-10
CUST000026,Residential,PLACER,Active,2016-01-15
CUST000027,Residential,ALAMEDA,Active,2023-10-20
CUST000028,Residential,CONTRA COSTA,Active,2022-08-19
CUST000029,Residential,SOLANO,Active,2022-05-03
CUST000030,Residential,SANTA CLARA,Active,2020-03-03
CUST000031,Residential,ALAMEDA,Active,2017-11-13
CUST000032,Residential,PLACER,Pending Close,2016-06-22
CUST000033,Residential,SAN FRANCISCO,Active,2023-03-12
CUST000034,Industrial,SAN LUIS OBISPO,Active,2023-08-13
CUST000035,Agriculture And Water Pumping,SANTA CLARA,Active,2017-01-22
CUST000036,Commercial,MARIN,Active,2016-06-18
CUST000037,Residential,EL DORADO,Active,2016-11-03
CUST000038,Residential,KINGS,Active,2017-11-30
CUST000039,Residential,SOLANO,Active,2016-07-21
CUST000040,Residential,YOLO,Active,2018-12-07
CUST000041,Residential,MADERA,Active,2016-02-19
CUST000042,Residential,NEVADA,Active,2016-03-24
CUST000043,Residential,SANTA CLARA,Active,2016-09-01
CUST000044,Commercial,FRESNO,Active,2022-05-29
CUST000045,Residential,SANTA CRUZ,Active,2020-06-24
CUST000046,Residential,SAN LUIS OBISPO,Active,2019-12-03
CUST000047,Residential,KERN,Active,2021-10-19
CUST000048,Residential,PLACER,Active,2024-12-02
CUST000049,Residential,SAN MATEO,Active,2016-12-05
CUST000050,Residential,PLACER,Pending Close,2021-04-05
CUST000051,Agriculture And Water Pumping,SANTA CLARA,Active,2017-12-01
CUST000052,Residential,SAN JOAQUIN,Active,2017-01-03
CUST000053,Industrial,SANTA CLARA,Active,2017-03-10
CUST000054,Commercial,SANTA CLARA,Active,2020-08-19
CUST000055,Residential,KERN,Active,2022-08-26
CUST000056,Commercial,FRESNO,Active,2020-02-04
CUST000057,Residential,KERN,Active,2024-02-19
CUST000058,Residential,ALAMEDA,Active,2024-12-31
CUST000059,Residential,SAN FRANCISCO,Active,2024-08-17
CUST000060,Residential,SAN MATEO,Active,2020-12-26
CUST000061,Residential,TUOLUMNE,Active,2020-03-05
CUST000062,Residential,YOLO,Active,2016-12-31
CUST000063,Commercial,KERN,Active,2015-07-15
CUST000064,Residential,ALAMEDA,Active,2018-01-02
CUST000065,Residential,SOLANO,Active,2019-06-27
CUST000066,Residential,CONTRA COSTA,Active,2024-01-10
CUST000067,Residential,KERN,Active,2019-07-17
CUST000068,Commercial,SAN MATEO,Active,2018-01-30
CUST000069,Residential,YOLO,Active,2015-09-21
CUST000070,"Transportation, Communications, & Utilities",CONTRA COSTA,Active,2023-03-12
CUST000071,Residential,SAN FRANCISCO,Active,2017-07-08
CUST000072,Residential,SOLANO,Active,2015-06-10
CUST000073,Residential,KERN,Active,2018-06-10
CUST000074,Commercial,SANTA CLARA,Active,2021-12-13
CUST000075,Residential,KINGS,Pending Close,2019-12-16
CUST000076,Residential,PLACER,Active,2017-02-08
CUST000077,Residential,EL DORADO,Active,2015-11-07
CUST000078,Residential,ALAMEDA,Active,2015-08-15
CUST000079,Residential,KERN,Active,2015-09-30
CUST000080,Residential,KERN,Inactive,2023-03-05
CUST000081,Commercial,GLENN,Active,2015-11-13
CUST000082,Residential,SANTA CLARA,Active,2020-04-06
CUST000083,Residential,SAN JOAQUIN,Active,2023-08-24
CUST000084,Residential,ALAMEDA,Active,2021-05-27
CUST000085,Residential,SANTA CLARA,Active,2019-02-01
CUST000086,Residential,KERN,Active,2022-08-08
CUST000087,Residential,MERCED,Active,2020-03-09
CUST000088,Residential,CONTRA COSTA,Active,2019-05-21
CUST000089,Commercial,SAN FRANCISCO,Active,2019-11-28
CUST000090,Residential,SANTA CLARA,Active,2024-07-07
CUST000091,Residential,CONTRA COSTA,Active,2018-12-21
CUST000092,Residential,CONTRA COSTA,Active,2021-08-19
CUST000093,Residential,SAN JOAQUIN,Active,2020-04-09
CUST000094,Residential,SANTA CLARA,Active,2016-07-20
CUST000095,Residential,CONTRA COSTA,Active,2022-12-25
CUST000096,Residential,KERN,Active,2022-09-03
CUST000097,Residential,SAN JOAQUIN,Active,2015-09-09
CUST000098,Residential,ALAMEDA,Active,2019-04-06
CUST000099,Residential,KERN,Active,2021-06-12
CUST000100,Residential,CONTRA COSTA,Active,2024-08-02
CUST000101,Residential,KERN,Inactive,2016-11-05
CUST000102,Residential,SAN FRANCISCO,Active,2022-12-25
CUST000103,Residential,SAN FRANCISCO,Pending Close,2021-04-30
CUST000104,Residential,ALAMEDA,Active,2020-10-16
CUST000105,Commercial,ALAMEDA,Active,2023-09-14
CUST000106,Residential,SANTA CLARA,Active,2024-07-03
CUST000107,Residential,SAN MATEO,Active,2019-05-22
CUST000108,Residential,SANTA CLARA,Active,2023-12-15
CUST000109,Residential,MERCED,Active,2023-12-08
CUST000110,Residential,KINGS,Active,2016-05-28
CUST000111,Residential,KINGS,Active,2022-09-17
CUST000112,Residential,MONTEREY,Active,2016-03-17
CUST000113,Industrial,SAN LUIS OBISPO,Active,2015-01-01
CUST000114,Commercial,FRESNO,Active,2021-08-02
CUST000115,Residential,ALAMEDA,Active,2018-02-12
CUST000116,Commercial,COLUSA,Active,2017-06-21
CUST000117,Commercial,KERN,Active,2019-06-12
CUST000118,Residential,KERN,Active,2018-05-05
CUST000119,Commercial,MADERA,Active,2021-05-10
CUST000120,Residential,ALAMEDA,Active,2017-05-05
CUST000121,Commercial,ALAMEDA,Active,2017-10-14
CUST000122,Commercial,YOLO,Active,2018-03-29
CUST000123,Residential,CONTRA COSTA,Active,2021-01-29
CUST000124,Residential,KERN,Active,2024-11-25
CUST000125,Residential,YOLO,Active,2024-08-30
CUST000126,Residential,EL DORADO,Active,2016-08-07
CUST000127,Commercial,SAN FRANCISCO,Active,2024-08-05
CUST000128,Commercial,ALAMEDA,Active,2023-02-24
CUST000129,Residential,SAN MATEO,Active,2021-12-03
CUST000130,Residential,BUTTE,Active,2016-03-30
CUST000131,Residential,SAN FRANCISCO,Pending Close,2015-07-15
CUST000132,Residential,PLACER,Active,2022-10-14
CUST000133,Residential,SANTA CLARA,Active,2016-08-21
CUST000134,Residential,CONTRA COSTA,Active,2018-08-25
CUST000135,Industrial,KINGS,Active,2019-10-26
CUST000136,Residential,MARIN,Active,2016-07-09
CUST000137,Residential,SAN LUIS OBISPO,Active,2022-12-05
CUST000138,Residential,SANTA CLARA,Active,2019-02-26
CUST000139,Residential,FRESNO,Active,2016-03-14
CUST000140,Agriculture And Water Pumping,TUOLUMNE,Active,2022-05-21
CUST000141,Agriculture And Water Pumping,SAN FRANCISCO,Active,2015-12-25
CUST000142,Residential,SANTA CLARA,Active,2023-07-05
CUST000143,Residential,SAN FRANCISCO,Active,2017-11-23
CUST000144,Residential,MERCED,Active,2018-01-16
CUST000145,Residential,KERN,Active,2022-05-29
CUST000146,Residential,MONTEREY,Active,2020-08-25
CUST000147,Residential,SANTA BARBARA,Active,2022-08-24
CUST000148,Residential,SONOMA,Active,2016-02-25
CUST000149,Residential,SANTA CRUZ,Active,2016-07-06
CUST000150,Residential,SANTA CLARA,Active,2022-09-15
CUST000151,Commercial,ALAMEDA,Active,2022-10-11
CUST000152,Residential,SANTA CLARA,Active,2018-02-23
CUST000153,Residential,CALAVERAS,Active,2017-10-28
CUST000154,Residential,MADERA,Active,2024-09-13
CUST000155,"Transportation, Communications, & Utilities",FRESNO,Active,2019-01-31
CUST000156,Residential,ALAMEDA,Active,2017-05-29
CUST000157,Residential,SANTA CLARA,Active,2020-02-29
CUST000158,Residential,MADERA,Active,2017-05-01
CUST000159,Residential,KERN,Active,2016-05-24
CUST000160,Residential,SANTA CLARA,Active,2024-07-05
CUST000161,Residential,EL DORADO,Active,2020-02-03
CUST000162,Residential,CONTRA COSTA,Active,2023-11-22
CUST000163,Residential,ALAMEDA,Active,2019-10-30
CUST000164,Residential,KERN,Active,2017-08-23
CUST000165,Residential,SANTA CLARA,Active,2020-02-02
CUST000166,Commercial,SHASTA,Active,2017-07-02
CUST000167,Residential,SANTA CLARA,Active,2018-10-22
CUST000168,Residential,SANTA CLARA,Active,2019-02-20
CUST000169,Residential,SANTA CLARA,Active,2020-08-27
CUST000170,Residential,MERCED,Active,2020-10-04
CUST000171,Residential,KERN,Active,2023-02-14
CUST000172,Residential,SAN FRANCISCO,Active,2017-11-24
CUST000173,Residential,CONTRA COSTA,Active,2023-01-28
CUST000174,Residential,CONTRA COSTA,Active,2022-05-01
CUST000175,Residential,KERN,Active,2017-03-04
CUST000176,Residential,SAN JOAQUIN,Active,2019-05-16
CUST000177,Residential,SONOMA,Active,2019-12-12
CUST000178,Residential,SANTA CLARA,Active,2015-12-13
CUST000179,Industrial,PLACER,Active,2017-11-21
CUST000180,Residential,YOLO,Active,2017-06-26
CUST000181,Residential,KERN,Active,2017-10-20
CUST000182,Residential,SAN JOAQUIN,Active,2023-10-10
CUST000183,Commercial,SANTA CLARA,Active,2016-07-29
CUST000184,Commercial,TUOLUMNE,Active,2015-07-18
CUST000185,Residential,MADERA,Active,2024-02-10
CUST000186,Residential,SUTTER,Active,2018-09-27
CUST000187,Commercial,FRESNO,Active,2020-06-21
CUST000188,Residential,SAN MATEO,Active,2018-06-08
CUST000189,Residential,AMADOR,Active,2021-06-06
CUST000190,Residential,ALAMEDA,Active,2017-10-13
CUST000191,Residential,ALAMEDA,Active,2024-11-27
CUST000192,Commercial,FRESNO,Active,2015-01-26
CUST000193,Commercial,MADERA,Active,2019-04-08
CUST000194,Residential,MENDOCINO,Active,2024-09-15
CUST000195,Residential,SANTA CLARA,Active,2024-06-20
CUST000196,Residential,SAN JOAQUIN,Active,2024-03-10
CUST000197,Residential,SOLANO,Active,2021-11-02
CUST000198,Commercial,CONTRA COSTA,Active,2021-06-25
CUST000199,Commercial,KERN,Active,2021-01-12
CUST000200,Residential,ALAMEDA,Active,2016-04-15
CUST000201,Residential,ALAMEDA,Active,2021-10-03
