meter_id,account_id,meter_type,install_date,meter_status
MTR000001,ACCT000001,Smart Meter,2014-11-16,Active
MTR000002,ACCT000002,Smart Meter,2014-08-08,Active
MTR000003,ACCT000003,Smart Meter,2015-11-30,Active
MTR000004,ACCT000004,Smart Meter,2017-12-08,Active
MTR000005,ACCT000005,Smart Meter,2014-02-01,Active
MTR000006,ACCT000006,Smart Meter,2015-12-16,Active
MTR000007,ACCT000007,Smart Meter,2024-07-26,Active
MTR000008,ACCT000008,Smart Meter,2021-09-02,Active
MTR000009,ACCT000009,Smart Meter,2016-11-05,Active
MTR000010,ACCT000010,Smart Meter,2015-02-13,Active
MTR000011,ACCT000011,Smart Meter,2021-11-15,Active
MTR000012,ACCT000012,Smart Meter,2020-01-30,Active
MTR000013,ACCT000013,Smart Meter,2024-03-09,Active
MTR000014,ACCT000014,Smart Meter,2022-11-25,Active
MTR000015,ACCT000015,Smart Meter,2024-10-17,Active
MTR000016,ACCT000016,Legacy Meter,2023-12-24,Active
MTR000017,ACCT000017,Smart Meter,2023-10-09,Active
MTR000018,ACCT000018,Smart Meter,2016-07-24,Active
MTR000019,ACCT000019,Smart Meter,2017-02-01,Active
MTR000020,ACCT000020,Smart Meter,2017-09-02,Active
MTR000021,ACCT000021,Smart Meter,2015-12-08,Active
MTR000022,ACCT000022,Smart Meter,2024-07-06,Active
MTR000023,ACCT000023,Smart Meter,2022-04-12,Active
MTR000024,ACCT000024,Smart Meter,2024-01-08,Active
MTR000025,ACCT000025,Smart Meter,2016-02-22,Active
MTR000026,ACCT000026,Smart Meter,2017-04-19,Active
MTR000027,ACCT000027,Smart Meter,2019-12-20,Active
MTR000028,ACCT000028,Smart Meter,2021-06-03,Active
MTR000029,ACCT000029,Smart Meter,2017-03-24,Active
MTR000030,ACCT000030,Smart Meter,2020-08-03,Active
MTR000031,ACCT000031,Legacy Meter,2017-06-12,Active
MTR000032,ACCT000032,Smart Meter,2021-09-08,Inactive
MTR000033,ACCT000033,Smart Meter,2014-06-14,Active
MTR000034,ACCT000034,Smart Meter,2021-07-27,Active
MTR000035,ACCT000035,Smart Meter,2020-10-10,Active
MTR000036,ACCT000036,Smart Meter,2021-06-17,Active
MTR000037,ACCT000037,Smart Meter,2020-12-10,Active
MTR000038,ACCT000038,Smart Meter,2014-08-01,Active
MTR000039,ACCT000039,Smart Meter,2019-05-03,Active
MTR000040,ACCT000040,Smart Meter,2016-02-05,Active
MTR000041,ACCT000041,Smart Meter,2020-01-14,Active
MTR000042,ACCT000042,Smart Meter,2024-04-18,Active
MTR000043,ACCT000043,Smart Meter,2022-08-13,Active
MTR000044,ACCT000044,Smart Meter,2020-10-18,Active
MTR000045,ACCT000045,Smart Meter,2017-04-16,Active
MTR000046,ACCT000046,Legacy Meter,2018-12-25,Active
MTR000047,ACCT000047,Smart Meter,2021-11-29,Active
MTR000048,ACCT000048,Smart Meter,2015-10-07,Active
MTR000049,ACCT000049,Smart Meter,2018-07-19,Active
MTR000050,ACCT000050,Smart Meter,2020-06-17,Removed
MTR000051,ACCT000051,Smart Meter,2019-01-30,Active
MTR000052,ACCT000052,Smart Meter,2014-05-07,Active
MTR000053,ACCT000053,Smart Meter,2015-01-12,Active
