account_id,customer_id,premise_id,service_type,customer_segment,county,account_status,rate_plan_id
ACCT000001,CUST000001,PREM000001,Electric,Residential,KERN,Active,R-RES-TOU
ACCT000002,CUST000002,PREM000002,Electric,Agriculture And Water Pumping,KERN,Active,R-AGR-PUMP
ACCT000003,CUST000003,PREM000003,Electric,Residential,BUTTE,Active,R-RES-TOU
ACCT000004,CUST000004,PREM000004,Electric,Residential,SAN MATEO,Active,R-RES-TOU
ACCT000005,CUST000005,PREM000005,Electric,Residential,MONTEREY,Active,R-RES-TOU
ACCT000006,CUST000006,PREM000006,Electric,Residential,SANTA CLARA,Active,R-RES-TOU
ACCT000007,CUST000007,PREM000007,Electric,Residential,MERCED,Active,R-RES-TOU
ACCT000008,CUST000008,PREM000008,Electric,Commercial,SAN JOAQUIN,Active,R-COM-GEN
ACCT000009,CUST000009,PREM000009,Electric,Residential,SANTA CLARA,Active,R-RES-TOU
ACCT000010,CUST000010,PREM000010,Electric,Residential,KERN,Active,R-RES-TOU
ACCT000011,CUST000011,PREM000011,Electric,Residential,SANTA CLARA,Active,R-RES-TOU
ACCT000012,CUST000012,PREM000012,Electric,Agriculture And Water Pumping,FRESNO,Active,R-AGR-PUMP
ACCT000013,CUST000013,PREM000013,Electric,Commercial,PLACER,Active,R-COM-GEN
ACCT000014,CUST000014,PREM000014,Electric,Residential,SANTA BARBARA,Active,R-RES-TOU
ACCT000015,CUST000015,PREM000015,Electric,Residential,SANTA CLARA,Active,R-RES-TOU
ACCT000016,CUST000016,PREM000016,Electric,Residential,SANTA CLARA,Active,R-RES-TOU
ACCT000017,CUST000017,PREM000017,Electric,Residential,CONTRA COSTA,Active,R-RES-TOU
ACCT000018,CUST000018,PREM000018,Electric,Residential,ALAMEDA,Active,R-RES-TOU
ACCT000019,CUST000019,PREM000019,Electric,Residential,SAN FRANCISCO,Active,R-RES-TOU
ACCT000020,CUST000020,PREM000020,Electric,Residential,BUTTE,Active,R-RES-TOU
ACCT000021,CUST000021,PREM000021,Electric,Residential,FRESNO,Active,R-RES-TOU
ACCT000022,CUST000022,PREM000022,Electric,Residential,KERN,Active,R-RES-TOU
ACCT000023,CUST000023,PREM000023,Electric,Residential,NAPA,Active,R-RES-TOU
ACCT000024,CUST000024,PREM000024,Electric,Residential,FRESNO,Active,R-RES-TOU
ACCT000025,CUST000025,PREM000025,Electric,Residential,MENDOCINO,Active,R-RES-TOU
ACCT000026,CUST000026,PREM000026,Electric,Residential,PLACER,Active,R-RES-TOU
ACCT000027,CUST000027,PREM000027,Electric,Residential,ALAMEDA,Active,R-RES-TOU
ACCT000028,CUST000028,PREM000028,Electric,Residential,CONTRA COSTA,Active,R-RES-TOU
ACCT000029,CUST000029,PREM000029,Electric,Residential,SOLANO,Active,R-RES-TOU
ACCT000030,CUST000030,PREM000030,Electric,Residential,SANTA CLARA,Active,R-RES-TOU
ACCT000031,CUST000031,PREM000031,Electric,Residential,ALAMEDA,Active,R-RES-TOU
ACCT000032,CUST000032,PREM000032,Electric,Residential,PLACER,Pending Close,R-RES-TOU
ACCT000033,CUST000033,PREM000033,Electric,Residential,SAN FRANCISCO,Active,R-RES-TOU
ACCT000034,CUST000034,PREM000034,Electric,Industrial,SAN LUIS OBISPO,Active,R-IND-GEN
ACCT000035,CUST000035,PREM000035,Electric,Agriculture And Water Pumping,SANTA CLARA,Active,R-AGR-PUMP
ACCT000036,CUST000036,PREM000036,Electric,Commercial,MARIN,Active,R-COM-GEN
ACCT000037,CUST000037,PREM000037,Electric,Residential,EL DORADO,Active,R-RES-TOU
ACCT000038,CUST000038,PREM000038,Electric,Residential,KINGS,Active,R-RES-TOU
ACCT000039,CUST000039,PREM000039,Electric,Residential,SOLANO,Active,R-RES-TOU
ACCT000040,CUST000040,PREM000040,Electric,Residential,YOLO,Active,R-RES-TOU
ACCT000041,CUST000041,PREM000041,Electric,Residential,MADERA,Active,R-RES-TOU
ACCT000042,CUST000042,PREM000042,Electric,Residential,NEVADA,Active,R-RES-TOU
ACCT000043,CUST000043,PREM000043,Electric,Residential,SANTA CLARA,Active,R-RES-TOU
ACCT000044,CUST000044,PREM000044,Electric,Commercial,FRESNO,Active,R-COM-GEN
ACCT000045,CUST000045,PREM000045,Electric,Residential,SANTA CRUZ,Active,R-RES-TOU
ACCT000046,CUST000046,PREM000046,Electric,Residential,SAN LUIS OBISPO,Active,R-RES-TOU
ACCT000047,CUST000047,PREM000047,Electric,Residential,KERN,Active,R-RES-TOU
ACCT000048,CUST000048,PREM000048,Electric,Residential,PLACER,Active,R-RES-TOU
ACCT000049,CUST000049,PREM000049,Electric,Residential,SAN MATEO,Active,R-RES-TOU
ACCT000050,CUST000050,PREM000050,Electric,Residential,PLACER,Pending Close,R-RES-TOU
ACCT000051,CUST000051,PREM000051,Electric,Agriculture And Water Pumping,SANTA CLARA,Active,R-AGR-PUMP
ACCT000052,CUST000052,PREM000052,Electric,Residential,SAN JOAQUIN,Active,R-RES-TOU
ACCT000053,CUST000053,PREM000053,Electric,Industrial,SANTA CLARA,Active,R-IND-GEN
ACCT000054,CUST000054,PREM000054,Electric,Commercial,SANTA CLARA,Active,R-COM-GEN
ACCT000055,CUST000055,PREM000055,Electric,Residential,KERN,Active,R-RES-TOU
ACCT000056,CUST000056,PREM000056,Electric,Commercial,FRESNO,Active,R-COM-GEN
ACCT000057,CUST000057,PREM000057,Electric,Residential,KERN,Active,R-RES-TOU
ACCT000058,CUST000058,PREM000058,Electric,Residential,ALAMEDA,Active,R-RES-TOU
ACCT000059,CUST000059,PREM000059,Electric,Residential,SAN FRANCISCO,Active,R-RES-TOU
ACCT000060,CUST000060,PREM000060,Electric,Residential,SAN MATEO,Active,R-RES-TOU
ACCT000061,CUST000061,PREM000061,Electric,Residential,TUOLUMNE,Active,R-RES-TOU
ACCT000062,CUST000062,PREM000062,Electric,Residential,YOLO,Active,R-RES-TOU
ACCT000063,CUST000063,PREM000063,Electric,Commercial,KERN,Active,R-COM-GEN
ACCT000064,CUST000064,PREM000064,Electric,Residential,ALAMEDA,Active,R-RES-TOU
ACCT000065,CUST000065,PREM000065,Electric,Residential,SOLANO,Active,R-RES-TOU
ACCT000066,CUST000066,PREM000066,Electric,Residential,CONTRA COSTA,Active,R-RES-TOU
ACCT000067,CUST000067,PREM000067,Electric,Residential,KERN,Active,R-RES-TOU
ACCT000068,CUST000068,PREM000068,Electric,Commercial,SAN MATEO,Active,R-COM-GEN
ACCT000069,CUST000069,PREM000069,Electric,Residential,YOLO,Active,R-RES-TOU
ACCT000070,CUST000070,PREM000070,Electric,"Transportation, Communications, & Utilities",CONTRA COSTA,Active,R-TCU-GEN
ACCT000071,CUST000071,PREM000071,Electric,Residential,SAN FRANCISCO,Active,R-RES-TOU
ACCT000072,CUST000072,PREM000072,Electric,Residential,SOLANO,Active,R-RES-TOU
ACCT000073,CUST000073,PREM000073,Electric,Residential,KERN,Active,R-RES-TOU
ACCT000074,CUST000074,PREM000074,Electric,Commercial,SANTA CLARA,Active,R-COM-GEN
ACCT000075,CUST000075,PREM000075,Electric,Residential,KINGS,Pending Close,R-RES-TOU
ACCT000076,CUST000076,PREM000076,Electric,Residential,PLACER,Active,R-RES-TOU
ACCT000077,CUST000077,PREM000077,Electric,Residential,EL DORADO,Active,R-RES-TOU
ACCT000078,CUST000078,PREM000078,Electric,Residential,ALAMEDA,Active,R-RES-TOU
ACCT000079,CUST000079,PREM000079,Electric,Residential,KERN,Active,R-RES-TOU
ACCT000080,CUST000080,PREM000080,Electric,Residential,KERN,Inactive,R-RES-TOU
ACCT000081,CUST000081,PREM000081,Electric,Commercial,GLENN,Active,R-COM-GEN
ACCT000082,CUST000082,PREM000082,Electric,Residential,SANTA CLARA,Active,R-RES-TOU
ACCT000083,CUST000083,PREM000083,Electric,Residential,SAN JOAQUIN,Active,R-RES-TOU
ACCT000084,CUST000084,PREM000084,Electric,Residential,ALAMEDA,Active,R-RES-TOU
ACCT000085,CUST000085,PREM000085,Electric,Residential,SANTA CLARA,Active,R-RES-TOU
ACCT000086,CUST000086,PREM000086,Electric,Residential,KERN,Active,R-RES-TOU
ACCT000087,CUST000087,PREM000087,Electric,Residential,MERCED,Active,R-RES-TOU
ACCT000088,CUST000088,PREM000088,Electric,Residential,CONTRA COSTA,Active,R-RES-TOU
ACCT000089,CUST000089,PREM000089,Electric,Commercial,SAN FRANCISCO,Active,R-COM-GEN
ACCT000090,CUST000090,PREM000090,Electric,Residential,SANTA CLARA,Active,R-RES-TOU
ACCT000091,CUST000091,PREM000091,Electric,Residential,CONTRA COSTA,Active,R-RES-TOU
ACCT000092,CUST000092,PREM000092,Electric,Residential,CONTRA COSTA,Active,R-RES-TOU
