request_id,exception_id,bill_id,account_id,customer_id,billing_cycle_id,customer_segment,county,request_type,priority,request_status,opened_date,closed_date
SR00000001,EXC00005019,BILL00054864,ACCT004572,CUST004572,2024-12,Residential,SANTA CLARA,Account Status Review,Low,Open,2025-01-03,
SR00000002,EXC00004914,BILL00053662,ACCT004472,CUST004472,2024-10,Mining,FRESNO,Account Status Review,Medium,Open,2024-11-03,
SR00000003,EXC00001808,BILL00021643,ACCT001804,CUST001804,2024-07,Residential,KERN,Account Status Review,Low,Closed,2024-08-03,2024-08-29
SR00000004,EXC00002562,BILL00028827,ACCT002403,CUST002403,2024-03,Residential,SAN FRANCISCO,Meter Data Investigation,Medium,Closed,2024-04-03,2024-04-13
SR00000005,EXC00002858,BILL00031827,ACCT002653,CUST002653,2024-03,Residential,CONTRA COSTA,Missing Read Investigation,Medium,Closed,2024-04-03,2024-04-09
SR00000006,EXC00004782,BILL00052423,ACCT004369,CUST004369,2024-07,Residential,MERCED,Account Status Review,Medium,Closed,2024-08-03,2024-08-21
SR00000007,EXC00004303,BILL00047455,ACCT003955,CUST003955,2024-07,Residential,SAN MATEO,Account Status Review,High,Closed,2024-08-03,2024-08-13
SR00000008,EXC00004537,BILL00050245,ACCT004188,CUST004188,2024-01,Residential,CONTRA COSTA,Account Status Review,Medium,Open,2024-02-03,
SR00000009,EXC00003956,BILL00044249,ACCT003688,CUST003688,2024-05,Residential,SANTA CLARA,Account Status Review,Low,Closed,2024-06-03,2024-07-02
SR00000010,EXC00005397,BILL00059793,ACCT004983,CUST004983,2024-09,Residential,ALAMEDA,Account Status Review,Low,Closed,2024-10-03,2024-10-13
SR00000011,EXC00000034,BILL00000503,ACCT000042,CUST000042,2024-11,Residential,NEVADA,Missing Read Investigation,Critical,Closed,2024-12-03,2024-12-20
SR00000012,EXC00004338,BILL00047816,ACCT003985,CUST003985,2024-08,Commercial,CONTRA COSTA,Account Status Review,Critical,Closed,2024-09-03,2024-09-22
SR00000013,EXC00003485,BILL00038276,ACCT003190,CUST003190,2024-08,Residential,SAN MATEO,Account Status Review,Medium,Closed,2024-09-03,2024-09-16
SR00000014,EXC00003787,BILL00041989,ACCT003500,CUST003500,2024-01,Residential,ALAMEDA,Missing Read Investigation,High,Open,2024-02-03,
SR00000015,EXC00003140,BILL00035835,ACCT002987,CUST002987,2024-03,Residential,MERCED,Account Status Review,Medium,Closed,2024-04-03,2024-04-12
SR00000016,EXC00004319,BILL00047599,ACCT003967,CUST003967,2024-07,Residential,NEVADA,Account Status Review,High,Open,2024-08-03,
SR00000017,EXC00005110,BILL00055910,ACCT004660,CUST004660,2024-02,Residential,SAN JOAQUIN,Account Status Review,High,Closed,2024-03-03,2024-03-20
SR00000018,EXC00000316,BILL00004002,ACCT000334,CUST000334,2024-06,Residential,ALAMEDA,Missing Read Investigation,Low,Closed,2024-07-03,2024-07-26
SR00000019,EXC00001435,BILL00017076,ACCT001423,CUST001423,2024-12,Residential,CONTRA COSTA,Account Status Review,Medium,Closed,2025-01-03,2025-02-01
SR00000020,EXC00003194,BILL00036074,ACCT003007,CUST003007,2024-02,Commercial,MADERA,Account Status Review,Low,Closed,2024-03-03,2024-03-08
SR00000021,EXC00001398,BILL00016602,ACCT001384,CUST001384,2024-06,Residential,ALAMEDA,Meter Data Investigation,Low,In Progress,2024-07-03,
SR00000022,EXC00001804,BILL00021639,ACCT001804,CUST001804,2024-03,Residential,KERN,Account Status Review,Medium,Closed,2024-04-03,2024-04-28
SR00000023,EXC00000298,BILL00003760,ACCT000314,CUST000314,2024-04,Agriculture And Water Pumping,KINGS,Missing Read Investigation,Medium,In Progress,2024-05-03,
SR00000024,EXC00004382,BILL00048243,ACCT004021,CUST004021,2024-03,Residential,ALAMEDA,Missing Read Investigation,Medium,Closed,2024-04-03,2024-04-06
SR00000025,EXC00001850,BILL00021762,ACCT001814,CUST001814,2024-06,Residential,MERCED,Missing Read Investigation,High,Open,2024-07-03,
SR00000026,EXC00000498,BILL00006558,ACCT000547,CUST000547,2024-06,Residential,SANTA CLARA,Account Status Review,Medium,Open,2024-07-03,
SR00000027,EXC00000291,BILL00003750,ACCT000313,CUST000313,2024-06,Residential,YOLO,Account Status Review,Low,In Progress,2024-07-03,
SR00000028,EXC00001729,BILL00020489,ACCT001708,CUST001708,2024-05,Residential,SAN FRANCISCO,Account Status Review,Low,In Progress,2024-06-03,
SR00000029,EXC00001380,BILL00016406,ACCT001368,CUST001368,2024-02,Commercial,SANTA CLARA,Account Status Review,Medium,In Progress,2024-03-03,
SR00000030,EXC00000492,BILL00006552,ACCT000546,CUST000546,2024-12,Residential,GLENN,Missing Read Investigation,Low,Closed,2025-01-03,2025-01-27
SR00000031,EXC00004864,BILL00053438,ACCT004454,CUST004454,2024-02,Commercial,SANTA CLARA,Account Status Review,Medium,In Progress,2024-03-03,
SR00000032,EXC00004874,BILL00053448,ACCT004454,CUST004454,2024-12,Commercial,SANTA CLARA,Account Status Review,Medium,Open,2025-01-03,
SR00000033,EXC00001584,BILL00019227,ACCT001603,CUST001603,2024-03,Residential,SAN MATEO,Account Status Review,High,Closed,2024-04-03,2024-04-17
SR00000034,EXC00001942,BILL00022991,ACCT001916,CUST001916,2024-11,Residential,SANTA CLARA,Account Status Review,Medium,Closed,2024-12-03,2024-12-23
SR00000035,EXC00000085,BILL00000999,ACCT000084,CUST000084,2024-03,Residential,ALAMEDA,Missing Read Investigation,High,Closed,2024-04-03,2024-04-29
SR00000036,EXC00004954,BILL00054254,ACCT004522,CUST004522,2024-02,Residential,EL DORADO,Account Status Review,High,Closed,2024-03-03,2024-03-14
SR00000037,EXC00003517,BILL00038664,ACCT003222,CUST003222,2024-12,Residential,SANTA CLARA,Account Status Review,Medium,Closed,2025-01-03,2025-01-22
SR00000038,EXC00003506,BILL00038653,ACCT003222,CUST003222,2024-01,Residential,SANTA CLARA,Account Status Review,High,Closed,2024-02-03,2024-02-22
SR00000039,EXC00001882,BILL00022195,ACCT001850,CUST001850,2024-07,Residential,CONTRA COSTA,Account Status Review,Medium,Open,2024-08-03,
SR00000040,EXC00003717,BILL00041012,ACCT003418,CUST003418,2024-08,Residential,SAN FRANCISCO,Account Status Review,Medium,Closed,2024-09-03,2024-09-08
SR00000041,EXC00000347,BILL00004442,ACCT000371,CUST000371,2024-02,Residential,KERN,Meter Data Investigation,High,Open,2024-03-03,
SR00000042,EXC00002474,BILL00027840,ACCT002320,CUST002320,2024-12,Residential,NAPA,Account Status Review,Medium,Cancelled,2025-01-03,2025-01-29
SR00000043,EXC00001733,BILL00020493,ACCT001708,CUST001708,2024-09,Residential,SAN FRANCISCO,Account Status Review,Medium,Closed,2024-10-03,2024-10-15
SR00000044,EXC00000009,BILL00000108,ACCT000009,CUST000009,2024-12,Residential,SANTA CLARA,Meter Data Investigation,Low,Closed,2025-01-03,2025-01-24
SR00000045,EXC00001756,BILL00020925,ACCT001744,CUST001744,2024-09,Residential,BUTTE,Account Status Review,Low,In Progress,2024-10-03,
SR00000046,EXC00004908,BILL00053656,ACCT004472,CUST004472,2024-04,Mining,FRESNO,Account Status Review,Low,In Progress,2024-05-03,
SR00000047,EXC00000133,BILL00001594,ACCT000133,CUST000133,2024-10,Residential,SANTA CLARA,Missing Read Investigation,Medium,Closed,2024-11-03,2024-11-11
SR00000048,EXC00003857,BILL00043040,ACCT003587,CUST003587,2024-08,Residential,MONTEREY,Account Status Review,Medium,Closed,2024-09-03,2024-10-02
SR00000049,EXC00002903,BILL00033446,ACCT002788,CUST002788,2024-02,Residential,YOLO,Account Status Review,High,Closed,2024-03-03,2024-03-28
SR00000050,EXC00000777,BILL00009638,ACCT000804,CUST000804,2024-02,Residential,SAN JOAQUIN,Account Status Review,Critical,Closed,2024-03-03,2024-03-09
SR00000051,EXC00004910,BILL00053658,ACCT004472,CUST004472,2024-06,Mining,FRESNO,Account Status Review,Low,Closed,2024-07-03,2024-07-22
SR00000052,EXC00000440,BILL00005420,ACCT000452,CUST000452,2024-08,Residential,ALAMEDA,Account Status Review,Medium,In Progress,2024-09-03,
SR00000053,EXC00003563,BILL00039189,ACCT003266,CUST003266,2024-09,Residential,CONTRA COSTA,Account Status Review,Low,In Progress,2024-10-03,
SR00000054,EXC00003713,BILL00041008,ACCT003418,CUST003418,2024-04,Residential,SAN FRANCISCO,Account Status Review,Medium,Closed,2024-05-03,2024-06-01
